File,Top Contributor Share (%)
services/web/app/coffee/controllers/UserController.coffee,82.29
services/track-changes/.gitignore,53.85
services/track-changes/app/coffee/ConcatManager.coffee,100.00
services/track-changes/app/coffee/mongojs.coffee,55.56
services/track-changes/compressHistory.coffee,100.00
services/track-changes/config/settings.testing.coffee,100.00
services/track-changes/package.json,23.43
services/track-changes/rakefile.rb,100.00
services/track-changes/test/unit/coffee/ConcatManager/ConcatManagerTests.coffee,100.00
services/track-changes/app/coffee/ConversionManager.coffee,100.00
services/track-changes/app.coffee,46.03
services/track-changes/app/coffee/HistoryBuilder.coffee,100.00
services/track-changes/test/unit/coffee/ConversionManager/ConversionManagerTests.coffee,100.00
services/track-changes/test/unit/coffee/HistoryBuilder/HistoryBuilderTests.coffee,100.00
services/track-changes/app/coffee/HistoryManager.coffee,100.00
services/track-changes/app/coffee/UpdateCompressor.coffee,94.61
services/track-changes/test/unit/coffee/HistoryManager/HistoryManagerTests.coffee,100.00
services/track-changes/test/unit/coffee/UpdateCompressor/UpdateCompressorTests.coffee,78.74
services/track-changes/test/acceptance/coffee/AppendingUpdatesTests.coffee,90.99
services/track-changes/app/coffee/HttpController.coffee,47.81
services/track-changes/test/unit/coffee/HttpController/HttpControllerTests.coffee,75.93
server-ce/.gitignore,71.05
server-ce/Gruntfile.coffee,67.51
server-ce/package.json,29.79
server-ce/CONTRIBUTING.md,90.48
server-ce/README.md,65.68
server-ce/config/settings.testing.coffee,100.00
server-ce/config/settings.development.coffee,100.00
services/web/.gitignore,40.09
services/web/.npmignore,100.00
services/web/BackgroundJobsWorker.coffee,100.00
services/web/Gruntfile.coffee,58.85
services/web/TpdsWorker.coffee,100.00
services/web/app.coffee,72.84
services/web/app/coffee/Features/Analytics/AnalyticsManager.coffee,40.53
services/web/app/coffee/Features/Authentication/AuthenticationController.coffee,45.40
services/web/app/coffee/Features/Authentication/AuthenticationManager.coffee,26.47
services/web/app/coffee/Features/Collaborators/CollaboratorsController.coffee,79.01
services/web/app/coffee/Features/Compile/ClsiManager.coffee,39.80
services/web/app/coffee/Features/Compile/CompileController.coffee,38.24
services/web/app/coffee/Features/Compile/CompileManager.coffee,52.85
services/web/app/coffee/Features/DocumentUpdater/DocumentUpdaterHandler.coffee,37.64
services/web/app/coffee/Features/Documents/DocumentController.coffee,46.85
services/web/app/coffee/Features/Downloads/ProjectDownloadsController.coffee,80.00
services/web/app/coffee/Features/Downloads/ProjectZipStreamManager.coffee,90.70
services/web/app/coffee/Features/Dropbox/DropboxHandler.coffee,98.78
services/web/app/coffee/Features/Editor/EditorController.coffee,48.76
services/web/app/coffee/Features/Editor/EditorRealTimeController.coffee,73.68
services/web/app/coffee/Features/Editor/EditorUpdatesController.coffee,95.56
services/web/app/coffee/Features/FileStore/FileStoreHandler.coffee,35.07
services/web/app/coffee/Features/HealthCheck/HealthCheckController.coffee,55.96
