File,Top Contributor Share (%)
.gitignore,95.52
LICENSE,100.00
README.md,68.09
plantuml.py,51.94
.travis.yml,100.00
tests/data/code_and_diag.html,100.00
tests/data/multiple_diag.html,100.00
tests/data/png_diag.html,100.00
tests/data/svg_diag.html,100.00
tests/data/txt_diag.html,100.00
tests/markdown_builder.py,100.00
tests/test_plantuml.py,100.00
tests/test_plantuml_fenced.py,100.00
tests/test_plantuml_legacy.py,100.00
requirements.txt,75.00
test/__init__.py,100.00
test/data/code_and_diag.html,100.00
test/data/multiple_diag.html,100.00
test/data/png_diag.html,100.00
test/data/svg_diag.html,100.00
test/data/txt_diag.html,100.00
test/markdown_builder.py,100.00
test/plantuml,100.00
test/test_plantuml.py,95.47
test/test_plantuml_fenced.py,100.00
test/test_plantuml_legacy.py,100.00
setup.py,95.83
test-requirements.txt,100.00
.gitchangelog.rc,100.00
CHANGELOG.md,99.40
mdx_plantuml.py,100.00
test/data/svg_inline_diag.html,100.00
test/data/svg_object_diag.html,100.00
plantuml-markdown.py,88.10
test/data/example_cfg.yml,100.00
plantuml_markdown.py,68.81
release.sh,77.50
test/data/include_output.html,100.00
test/data/included_diag.puml,100.00
test/data/svg_object_diag-3.3.html,100.00
.drone.jsonnet,100.00
test/data/included_source.puml,100.00
Dockerfile,69.70
docker-compose.yml,65.08
test/data/yaml_diagram.html,100.00
plantuml_markdown/__init__.py,100.00
plantuml_markdown/plantuml_markdown.py,95.83
plantuml_markdown.json,100.00
test/data/docs/example.puml,100.00
test/data/mkdocs.yml,100.00
