File,Top Contributor Share (%)
.hgignore,100.00
sites/scrapy.org/site/README,100.00
sites/scrapy.org/site/apps/article/models.py,100.00
sites/scrapy.org/site/apps/article/templatetags/article_tags.py,100.00
sites/scrapy.org/site/apps/article/urls.py,100.00
sites/scrapy.org/site/apps/article/views.py,100.00
sites/scrapy.org/site/apps/blog/feeds.py,100.00
sites/scrapy.org/site/apps/blog/models.py,100.00
sites/scrapy.org/site/apps/blog/templatetags/lastblogentry.py,100.00
sites/scrapy.org/site/apps/blog/urls.py,100.00
sites/scrapy.org/site/apps/download/models.py,100.00
sites/scrapy.org/site/apps/download/templatetags/download_tags.py,100.00
sites/scrapy.org/site/apps/download/urls.py,100.00
sites/scrapy.org/site/apps/download/views.py,100.00
sites/scrapy.org/site/apps/link/models.py,100.00
sites/scrapy.org/site/apps/link/templatetags/link_tags.py,100.00
sites/scrapy.org/site/apps/link/views.py,100.00
sites/scrapy.org/site/lib/templatetags.py,100.00
sites/scrapy.org/site/local_settings.py.template,100.00
sites/scrapy.org/site/manage.py,100.00
sites/scrapy.org/site/settings.py,100.00
sites/scrapy.org/site/static/style/style.css,100.00
sites/scrapy.org/site/templates/base.html,100.00
sites/scrapy.org/site/templates/base_home.html,100.00
sites/scrapy.org/site/templates/base_weblog.html,100.00
sites/scrapy.org/site/templates/blog/entry_archive.html,100.00
sites/scrapy.org/site/templates/blog/entry_archive_day.html,100.00
sites/scrapy.org/site/templates/blog/entry_archive_month.html,100.00
sites/scrapy.org/site/templates/blog/entry_archive_year.html,100.00
sites/scrapy.org/site/templates/blog/entry_detail.html,100.00
sites/scrapy.org/site/templates/home.html,100.00
sites/scrapy.org/site/urls.py,100.00
sites/dev.scrapy.org/conf/trac-0.11rc2.ini.diff,100.00
sites/dev.scrapy.org/conf/trac.ini,100.00
sites/dev.scrapy.org/htdocs/css/trac-0.11rc2.css.diff,100.00
sites/dev.scrapy.org/htdocs/css/trac.css,95.25
sites/scrapy.org/site/apps/link/urls.py,100.00
sites/scrapy.org/scrapy_site/apps/link/models.py,100.00
sites/dev.scrapy.org/htdocs/css/about.css,100.00
sites/dev.scrapy.org/htdocs/css/admin.css,100.00
sites/dev.scrapy.org/htdocs/css/browser.css,100.00
sites/dev.scrapy.org/htdocs/css/changeset.css,97.67
sites/dev.scrapy.org/htdocs/css/code.css,100.00
sites/dev.scrapy.org/htdocs/css/diff.css,100.00
sites/dev.scrapy.org/htdocs/css/prefs.css,100.00
sites/dev.scrapy.org/htdocs/css/report.css,100.00
sites/dev.scrapy.org/htdocs/css/roadmap.css,100.00
sites/dev.scrapy.org/htdocs/css/search.css,100.00
sites/dev.scrapy.org/htdocs/css/ticket.css,100.00
sites/dev.scrapy.org/htdocs/css/timeline.css,100.00
sites/dev.scrapy.org/htdocs/css/wiki.css,100.00
sites/scrapy.org/scrapyorg/local_settings.py.template,100.00
sites/scrapy.org/scrapyorg/settings.py,70.59
sites/scrapy.org/scrapyorg/urls.py,51.28
