Field,Value
Commits Overview,
Total Commits,10754
Total Unique Authors,701
,
Top 10 Contributors,
Author,Commits
Pablo Hoffman,5812
Andrey Rakhmatullin,2725
Daniel Grana,1627
Adrián Chaves,1407
Eugenio Lacuesta,1273
Daniel Graña,996
Mikhail Korobov,839
Julia Medina,672
Ismael Carnales,643
Paul Tremberth,562
,
Communication Events,Total: 702
"Author1,Author2",Events
"Ismael Carnales,Pablo Hoffman",50
"Daniel Grana,Pablo Hoffman",42
"Pablo Hoffman,Daniel Grana",37
"Pablo Hoffman,Ismael Carnales",26
"Andrey Rakhmatullin,Jalil SA",20
"Adrián Chaves,Andrey Rakhmatullin",19
"Vsevolod Breus,Andrey Rakhmatullin",13
"elpolilla,Pablo Hoffman",12
"Andrey Rakhmatullin,Laerte Pereira",11
"Pablo Hoffman,elpolilla",10
"Andrey Rakhmatullin,Adrián Chaves",9
"Daniel Graña,Mikhail Korobov",9
"Mikhail Korobov,Daniel Graña",8
"elpolilla,samus_",8
"Daniel Grana,Ismael Carnales",8
"samus_,elpolilla",8
"Adrián Chaves,Matthew Donoughe",7
"Pablo Hoffman,Daniel Graña",7
"olveyra,Pablo Hoffman",7
"Marc Hernández,Marc Hernandez Cabot",6
"Shadab Zafar,Mikhail Korobov",6
"Ammar Najjar,nyov",6
"Andrey Rahmatullin,Emmanuel Rondan",6
"Ammar Najjar,Adrián Chaves",5
"pankaj1707k,Adrián Chaves",5
"Andrey Rahmatullin,Andrey Rakhmatullin",5
"Daniel Graña,Pablo Hoffman",5
"Pablo Hoffman,olveyra",5
"Adrián Chaves,Ammar Najjar",5
"Andrey Rakhmatullin,Andrey Rahmatullin",4
"Daniel Graña,Alexey Bezhan",4
"samus_,Pablo Hoffman",4
"Bernardas,Paul Tremberth",4
"Elias Dorneles,Daniel Graña",4
"Júlio César Batista,Victor Torres",4
"Adrián Chaves,Emmanuel Rondan",4
"Mikhail Korobov,Vostretsov Nikita",4
"Ismael Carnales,Daniel Grana",4
"watsta,Eugenio Lacuesta",3
"Paul Tremberth,Daniel Graña",3
"Martin Olveyra,Pablo Hoffman",3
"Roy Healy,Roy",3
"Pablo Hoffman,samus_",3
"D R Siddhartha,Türkalp Burak KAYRANCIOĞLU",3
"Capi Etheriel,Daniel Graña",3
"nyov,Eugenio Lacuesta",3
"Aditya,Adrián Chaves",3
"Rolando Espinoza,Paul Tremberth",3
"Paul Tremberth,Valdir Stumm Jr",3
"Andrey Rakhmatullin,Klaus Rettinghaus",3
"Mikhail Korobov,Paul Tremberth",3
"Eugenio Lacuesta,Adrián Chaves",3
"Elias Dorneles,Valdir Stumm Junior",3
"Darshan Chaudhary,darshanime",3
"Valdir Stumm Junior,Elias Dorneles",3
"Valdir Stumm Jr,Paul Tremberth",3
"nyov,Gregory Vigo Torres",2
"nyov,Mikhail Korobov",2
"elacuesta,Eugenio Lacuesta",2
"Ammar Najjar,Eugenio Lacuesta",2
"samus_,Daniel Grana",2
"paul,Daniel Graña",2
"dfdeshom,Pablo Hoffman",2
"agusc,Daniel Graña",2
"Artem Bogomyagkov,Daniel Graña",2
"Beng Hee Eu,Daniel Graña",2
"Zuhao Wan,Pablo Hoffman",2
"kirankoduru,Kiran Koduru",2
"Adrián Chaves,Mabel Villalba",2
"Adrián Chaves,Jalil SA",2
"Shadab Zafar,Julia Medina",2
"Rafał Gutkowski,Mikhail Korobov",2
"Raphael Wuillemier,testingcan",2
"Pablo Hoffman,Alex Cepoi",2
"Paul Tremberth,Mikhail Korobov",2
"Vostretsov Nikita,Lucy Wang",2
"Daniel Grana,Daniel Graña",2
"Daniel Grana,Andres Moreira",2
"Mateusz Golewski,Julia Medina",2
"Eugenio Lacuesta,elacuesta",2
"Ezequiel Rivero,Ismael Carnales",2
"Mikhail Korobov,Elias Dorneles",2
"Eugenio Lacuesta,Aditya",2
"Deepanshu,Deepanshu verma",2
"Laerte Pereira,Andrey Rakhmatullin",2
"Daniel Graña,Paul Tremberth",2
"Eugenio Lacuesta,Paul Tremberth",2
"Jalil SA,Cj Malone",2
"Marc Hernández,Adrián Chaves",2
"Jakob de Maeyer,Daniel Graña",2
"vinayak,Adrián Chaves",2
"Adrián Chaves,Andrey Rahmatullin",2
"Adrián Chaves,Alex",2
"Aditya,adityaa30",2
"Alex,Jalil SA",1
"Alex,Andrey Rakhmatullin",1
"Alex,Adrián Chaves",1
"Akshay Sharma,Marc Hernandez Cabot",1
"Akhil Lb,Mikhail Korobov",1
"Ajay Mittur,Adrián Chaves",1
"Adrián Chaves,kenshi kikuchi",1
"Adrián Chaves,elacuesta",1
"Adrián Chaves,anubhav",1
"Adrián Chaves,WinterComes",1
"Adrián Chaves,Vostretsov Nikita",1
"nramirezuy,Pablo Hoffman",1
"ncp1113,Mikhail Korobov",1
"namelessGonbai,jazzthief",1
"mikolaje,nyov",1
"umair ansari,databender",1
"tpeng,Adrián Chaves",1
"testingcan,Raphael Wuillemier",1
"stray-leone,Daniel Graña",1
"spav,silviopavanetto",1
"silviopavanetto,Adrián Chaves",1
"scraperdragon,Dragon Dave",1
"Aditya,Eugenio Lacuesta",1
"Eugenio Lacuesta,Marc Hernández",1
"Eugenio Lacuesta,Júlio César Batista",1
"Eugenio Lacuesta,Antonio Gordillo Toledo",1
"Konstantin Lopuhin,Elias Dorneles",1
"Júlio César Batista,Eugenio Lacuesta",1
"Julia Medina,Victoria Terenina (torymur)",1
"Julia Medina,Pablo Hoffman",1
"Julia Medina,Elias Dorneles",1
