File,Top Contributor Share (%)
.gitignore,83.33
Makefile,100.00
app/meson.build,91.69
app/src/command.c,80.32
app/src/command.h,94.07
app/src/decoder.c,89.25
app/src/decoder.h,92.62
app/src/events.h,98.36
app/src/frames.c,100.00
app/src/frames.h,100.00
app/src/lockutil.h,100.00
app/src/netutil.c,100.00
app/src/netutil.h,100.00
app/src/scrcpy.c,92.50
app/src/screen.c,99.26
app/src/screen.h,98.04
app/src/strutil.c,100.00
app/src/strutil.h,100.00
app/src/unix/command.c,100.00
app/src/win/command.c,100.00
server/.gitignore,100.00
server/Makefile,100.00
server/src/android/view/IRotationWatcher.aidl,100.00
server/src/com/genymobile/scrcpy/DesktopConnection.java,100.00
server/src/com/genymobile/scrcpy/ScrCpyServer.java,100.00
server/src/com/genymobile/scrcpy/ScreenInfo.java,100.00
server/src/com/genymobile/scrcpy/ScreenStreamer.java,100.00
server/src/com/genymobile/scrcpy/ScreenStreamerSession.java,100.00
server/src/com/genymobile/scrcpy/ScreenUtil.java,100.00
README.md,81.58
server/src/com/genymobile/scrcpy/DeviceUtil.java,100.00
server/src/com/genymobile/scrcpy/wrappers/DisplayManager.java,100.00
server/src/com/genymobile/scrcpy/wrappers/ServiceManager.java,100.00
server/src/com/genymobile/scrcpy/wrappers/WindowManager.java,100.00
app/src/lockutil.c,100.00
app/src/sys/unix/command.c,41.48
app/src/sys/win/command.c,73.95
server/src/com/genymobile/scrcpy/Ln.java,100.00
app/src/android/input.h,99.88
app/src/android/keycodes.h,99.87
app/src/control.c,100.00
app/src/control.h,100.00
app/src/controlevent.c,100.00
app/src/controlevent.h,100.00
app/src/convert.c,100.00
app/src/convert.h,100.00
app/tests/test_control_event_queue.c,100.00
server/src/com/genymobile/scrcpy/ControlEvent.java,100.00
server/src/com/genymobile/scrcpy/ControlEventReader.java,100.00
server/src/com/genymobile/scrcpy/EventController.java,100.00
server/src/com/genymobile/scrcpy/wrappers/InputManager.java,100.00
server/tests/com/genymobile/scrcpy/ControlEventReaderTest.java,100.00
app/tests/test_strutil.c,97.30
app/tests/test_control_event_serialize.c,98.50
app/src/server.c,94.83
app/src/server.h,95.48
server/src/com/genymobile/scrcpy/Device.java,100.00
app/src/common.h,100.00
server/src/com/genymobile/scrcpy/Point.java,100.00
server/src/com/genymobile/scrcpy/RawPoint.java,100.00
app/src/main.c,84.00
app/src/scrcpy.h,78.38
server/src/com/genymobile/scrcpy/Position.java,100.00
server/src/com/genymobile/scrcpy/DisplayInfo.java,100.00
server/src/com/genymobile/scrcpy/Options.java,100.00
server/src/com/genymobile/scrcpy/Size.java,100.00
build.gradle,95.35
gradle.properties,94.44
gradle/wrapper/gradle-wrapper.properties,89.47
gradlew,68.97
gradlew.bat,79.65
server/build.gradle,98.50
server/proguard-rules.pro,100.00
server/src/main/AndroidManifest.xml,100.00
server/src/main/aidl/android/view/IRotationWatcher.aidl,100.00
server/src/main/java/com/genymobile/scrcpy/ControlEvent.java,100.00
server/src/main/java/com/genymobile/scrcpy/ControlEventReader.java,100.00
server/src/main/java/com/genymobile/scrcpy/DesktopConnection.java,90.04
server/src/main/java/com/genymobile/scrcpy/Device.java,70.34
server/src/main/java/com/genymobile/scrcpy/DisplayInfo.java,100.00
server/src/main/java/com/genymobile/scrcpy/EventController.java,95.90
server/src/main/java/com/genymobile/scrcpy/Ln.java,93.44
server/src/main/java/com/genymobile/scrcpy/Options.java,84.67
server/src/main/java/com/genymobile/scrcpy/Point.java,100.00
server/src/main/java/com/genymobile/scrcpy/Position.java,58.06
server/src/main/java/com/genymobile/scrcpy/ScrCpyServer.java,100.00
server/src/main/java/com/genymobile/scrcpy/ScreenInfo.java,88.20
server/src/main/java/com/genymobile/scrcpy/ScreenStreamerSession.java,100.00
server/src/main/java/com/genymobile/scrcpy/Size.java,100.00
