File,Top Contributor Share (%)
.project,27.16
doc/rst2html.bat,60.00
doc/selenium-b-architecture.txt,100.00
doc/seleniumReference.html,94.05
doc/seleniumReference.txt,98.52
java/.cvsignore,75.00
java/build.xml,56.47
java/main/Acme/Serve/CgiServlet.java,83.04
java/main/Acme/Serve/FileServlet.java,85.07
java/main/Acme/Serve/SSLServerSocketFactory.java,79.75
java/main/Acme/Serve/Serve.java,97.29
java/main/Acme/Serve/ThrottleItem.java,52.88
java/main/Acme/Serve/ThrottledOutputStream.java,74.38
java/main/Acme/Utils.java,94.02
java/main/Acme/WildcardDictionary.java,74.57
java/main/com/thoughtworks/jsrmi/ExchangingJsRmiInvoker.java,60.61
java/main/com/thoughtworks/jsrmi/JsObject.java,50.82
java/main/com/thoughtworks/jsrmi/JsRmiInvoker.java,84.51
java/main/com/thoughtworks/jsrmi/JsRmiServlet.java,65.93
java/main/com/thoughtworks/jsrmi/Marshaller.java,59.41
java/main/com/thoughtworks/selenium/Browser.java,66.67
java/main/com/thoughtworks/selenium/CommandExecutor.java,84.51
java/main/com/thoughtworks/selenium/ExchangerExecutor.java,66.67
java/main/com/thoughtworks/selenium/Selenium.java,47.83
java/main/com/thoughtworks/selenium/SeleniumException.java,75.95
java/main/com/thoughtworks/selenium/SeleniumServer.java,83.78
java/main/com/thoughtworks/selenium/TjwsSeleniumServer.java,51.03
java/main/com/thoughtworks/selenium/WikiCommandGenerator.java,63.27
java/main/com/thoughtworks/selenium/WikiTableRows.java,64.52
java/main/com/thoughtworks/selenium/XmlRpcServlet.java,56.36
java/selenium-b.iml,100.00
java/test/com/thoughtworks/jsrmi/ExchangingJsRmiInvokerTest.java,60.61
java/test/com/thoughtworks/jsrmi/JsObjectTest.java,72.94
java/test/com/thoughtworks/jsrmi/JsRmiServletTest.java,62.24
java/test/com/thoughtworks/jsrmi/MarshallerTest.java,72.62
java/test/com/thoughtworks/selenium/ExchangerExecutorTest.java,55.05
java/test/com/thoughtworks/selenium/RemoteInterfaceTest.java,53.45
java/test/com/thoughtworks/selenium/SeleniumIntegrationTest.java,43.87
java/test/com/thoughtworks/selenium/SeleniumServerTest.java,80.00
java/test/com/thoughtworks/selenium/WikiCommandGeneratorTest.java,58.82
javascript/TODO.txt,100.00
javascript/TestRunner.html,68.09
javascript/cgi-bin/hello.py,100.00
javascript/htmlutils.js,52.34
javascript/jsmock/mock-tests.html,49.14
javascript/jsmock/mock.js,66.08
javascript/jsolait/copying.txt,100.00
javascript/jsolait/doc/codecs.xhtml,100.00
javascript/jsolait/doc/crypto.xhtml,100.00
javascript/jsolait/doc/highlight.css,100.00
javascript/jsolait/doc/html.css,100.00
javascript/jsolait/doc/index.xhtml,100.00
javascript/jsolait/doc/jsolait.xhtml,100.00
javascript/jsolait/doc/jsonrpc.xhtml,100.00
javascript/jsolait/doc/lang.xhtml,100.00
javascript/jsolait/doc/stringformat.xhtml,100.00
javascript/jsolait/doc/tutorial.xhtml,100.00
javascript/jsolait/doc/urllib.xhtml,100.00
javascript/jsolait/doc/xml.xhtml,100.00
javascript/jsolait/doc/xmlrpc.xhtml,100.00
javascript/jsolait/init.js,99.86
javascript/jsolait/lib/codecs.js,100.00
javascript/jsolait/lib/crypto.js,100.00
javascript/jsolait/lib/jsonrpc.js,100.00
