Field,Value
Commits Overview,
Total Commits,32713
Total Unique Authors,942
,
Top 10 Contributors,
Author,Commits
Simon M Stewart,38788
Jim Evans,32399
Simon Stewart,20531
Jason Leyba,14568
Alexei Barantsev,11985
Dan Fabulich,10129
Jari Bakken,8587
Luke Inman-Semerau,6649
Daniel Wagner-Hall,6183
Diego Molina,5203
,
Communication Events,Total: 3931
"Author1,Author2",Events
"Darrell DeBoer,Dan Fabulich",396
"Alexei Barantsev,Simon Stewart",152
"Simon Stewart,Alexei Barantsev",99
"Jason Lebya,Simon M Stewart",90
"Simon M Stewart,Eran Mes",65
"Simon M Stewart,Daniel Wagner-Hall",63
"Daniel Wagner-Hall,Simon M Stewart",60
"Selenium CI Bot,Diego Molina",51
"Eran Mes,Simon M Stewart",49
"Boni García,Boni Garcia",49
"Aslak Hellesoy,Darrell DeBoer",46
"Puja Jagani,Diego Molina",43
"Simon M Stewart,Jim Evans",42
"Simon K,symonk",41
"Jim Evans,Simon M Stewart",35
"Dan Fabulich,Nelson Sproul",32
"Long Ly,Jim Evans",30
"Andreas Tolfsen,titusfortner",30
"Dounia Berrada,Daniel Wagner-Hall",29
"Rajendra kadam,Simon Stewart",29
"Simon Stewart,Puja Jagani",29
"Kristian Rosenvold,Simon M Stewart",29
"Puja Jagani,Simon Stewart",28
"Simon M Stewart,Jason Lebya",28
"Boni Garcia,Boni García",27
"Alexei Barantsev,Jim Evans",26
"Diego Molina,Puja Jagani",25
"titusfortner,Titus Fortner",23
"titusfortner,Diego Molina",22
"Jari Bakken,Simon M Stewart",22
"Eran Mes,Daniel Wagner-Hall",22
"Titus Fortner,titusfortner",22
"Diego Molina,Alexei Barantsev",21
"Daniel Wagner-Hall,Jim Evans",21
"Nelson Sproul,Dan Fabulich",20
"Luke Inman-Semerau,Simon Stewart",20
"Titus,Simon Mavi Stewart",20
"Diego Molina,titusfortner",19
"Mike Williams,Jeff Xiong",18
"Simon Stewart,Diego Molina",18
"Titus Fortner,Alex Rodionov",17
"Rajendra Kadam,Simon Stewart",15
"Mike Melia,Aslak Hellesoy",14
"Alexei Barantsev,Diego Molina",14
"Tamsil Sajid Amani,titusfortner",14
"Simon M Stewart,Kristian Rosenvold",14
"Simon M Stewart,Jari Bakken",14
"Daniel Wagner-Hall,Jason Lebya",13
"Diego Molina,Simon Stewart",13
"Simon Stewart,Luke Inman-Semerau",13
"lhuang,Jeff Xiong",13
"Christian Biesinger,Diego Molina",13
"Selenium CI Bot,titusfortner",13
"Long Ly,Lucas Tierney",13
"Jeff Xiong,Mike Williams",12
"Michael Tamm,Simon M Stewart",12
"Jim Evans,Simon Stewart",12
"Jeff Xiong,lhuang",12
"Alex Rodionov,Thomas Walpole",12
"Puja Jagani,Valery Yatsynovich",12
"Dounia Berrada,Eran Mes",11
"Scott Babcock,Diego Molina",11
"Simon M Stewart,Michael Tamm",11
"Simon Stewart,Simon Mavi Stewart",11
"Dounia Berrada,Simon M Stewart",11
"Alex Rodionov,titusfortner",11
"Jiayao Yu,Simon M Stewart",11
"Luke Inman-Semerau,Jim Evans",11
"Puja Jagani,titusfortner",11
"Daniel Wagner-Hall,Eran Mes",10
"Patrick Lightbody,Dan Fabulich",10
"Patrick Lightbody,Nelson Sproul",10
"Alexei Barantsev,Dounia Berrada",10
"lhuang,Nelson Sproul",10
"Diego Molina,Simon Mavi Stewart",10
"Titus,titusfortner",10
"Titus Fortner,Diego Molina",10
"Eran Mes,Dounia Berrada",10
"Diego Molina,Alex Rodionov",10
"titusfortner,Puja Jagani",10
"Mike Williams,Darrell DeBoer",10
"Eran Mes,Jim Evans",10
"Valery Yatsynovich,Simon Stewart",9
"Jari Bakken,Daniel Wagner-Hall",9
"Jim Evans,Eran Mes",8
"Jim Evans,Jim",8
"Alex Savchuk,Jim Evans",8
"lmtierney,Lucas Tierney",8
"Krishnan Mahadevan,Doug Simmons",8
"Simon M Stewart,Dounia Berrada",8
"Daniel P. Purkhús,Boni Garcia",8
"Dan Fabulich,Philippe Hanrigou",8
"Jim Evans,Luke Inman-Semerau",8
"wpc,Mike Williams",8
"AutomatedTester,Simon Stewart",8
"Michael Render,Nikolay Borisenko",8
"joerg1985,Simon Mavi Stewart",8
"Jim,Alexei Barantsev",8
"Jim Evans,Daniel Wagner-Hall",7
"jimevans,Jim Evans",7
"Dominik Dary,Alexei Barantsev",7
"Diego Molina,dependabot[bot]",7
"AutomatedTester,Dave Hunt",7
"Paul Hammant,Jim Evans",7
"Samit Badle,Adam Goucher",7
"titusfortner,Jim Evans",7
"Nelson Sproul,Patrick Lightbody",7
"Daniel Wagner-Hall,David Burns",7
"Jim Evans,Alexei Barantsev",7
"titusfortner,Simon Mavi Stewart",7
"titusfortner,AutomatedTester",7
"Kristian Rosenvold,Daniel Wagner-Hall",7
"Alex Rodionov,Luke Hill",6
"Kristian Rosenvold,Francois Reynaud",6
"Ahmed Ashour,Alexei Barantsev",6
"Daniel Wagner-Hall,Alexei Barantsev",6
