File,Top Contributor Share (%)
shadowsocks-csharp.sln,100.00
shadowsocks-csharp/Encryptor.cs,85.45
shadowsocks-csharp/Form1.Designer.cs,81.24
shadowsocks-csharp/Form1.cs,98.35
shadowsocks-csharp/Form1.resx,100.00
shadowsocks-csharp/Local.cs,93.40
shadowsocks-csharp/Program.cs,43.51
shadowsocks-csharp/Properties/AssemblyInfo.cs,94.52
shadowsocks-csharp/Properties/Resources.Designer.cs,24.66
shadowsocks-csharp/Properties/Resources.resx,72.14
shadowsocks-csharp/Properties/Settings.Designer.cs,39.81
shadowsocks-csharp/Properties/Settings.settings,75.00
shadowsocks-csharp/Test.cs,96.43
shadowsocks-csharp/shadowsocks-csharp.csproj,37.85
LICENSE,100.00
shadowsocks-csharp/Config.cs,96.12
README.md,39.30
.gitmodules,100.00
shadowsocks-csharp/simple-json,100.00
shadowsocks-csharp/app.config,38.06
shadowsocks-csharp/RC4.cs,100.00
openssl/openssl-net-0.5/ManagedOpenSsl.XML,100.00
shadowsocks-csharp/Encrypt/EncryptorBase.cs,54.69
shadowsocks-csharp/Encrypt/EncryptorFactory.cs,51.35
shadowsocks-csharp/Encrypt/IEncryptor.cs,53.85
shadowsocks-csharp/Encrypt/OpensslEncryptor.cs,56.95
shadowsocks-csharp/Encrypt/RC4Encryptor.cs,100.00
shadowsocks-csharp/Encrypt/TableEncryptor.cs,53.40
shadowsocks-csharp/Encrypt/OpenSSL.cs,100.00
shadowsocks-csharp/PACServer.cs,100.00
shadowsocks-csharp/proxy.pac.txt,100.00
shadowsocks-csharp/config.txt,100.00
shadowsocks-csharp/PolipoRunner.cs,100.00
shadowsocks-csharp/SystemProxy.cs,100.00
shadowsocks-csharp/Encrypt/PolarSSL.cs,100.00
shadowsocks-csharp/Encrypt/PolarSSLEncryptor.cs,100.00
.gitignore,95.78
shadowsocks-csharp/ConfigForm.Designer.cs,100.00
shadowsocks-csharp/ConfigForm.cs,100.00
LICENSE.txt,57.19
shadowsocks-csharp/ShadowsocksController.cs,100.00
shadowsocks-csharp/Controller/Local.cs,92.67
shadowsocks-csharp/Controller/PACServer.cs,57.25
shadowsocks-csharp/Controller/PolipoRunner.cs,87.39
shadowsocks-csharp/Controller/ShadowsocksController.cs,27.40
shadowsocks-csharp/Controller/SystemProxy.cs,52.63
