File,Top Contributor Share (%)
.babelrc,100.00
.directory,100.00
.gitignore,69.33
README.md,57.79
assets.d.ts,100.00
assets/angle-left-solid.svg,100.00
assets/backward-solid.svg,100.00
assets/forward-solid.svg,100.00
assets/heart-regular.svg,100.00
assets/heart-solid.svg,100.00
assets/pause-solid.svg,100.00
assets/play-solid.svg,100.00
assets/random-solid.svg,100.00
assets/stop-solid.svg,100.00
node-mpv.d.ts,100.00
package-lock.json,65.71
package.json,66.90
src/app.tsx,92.10
src/components/BackButton.tsx,100.00
src/components/Home.tsx,60.36
src/components/Login.tsx,100.00
src/components/Player.tsx,76.92
src/components/PlayerProgressBar.tsx,93.47
src/components/PlaylistGenreView.tsx,90.12
src/components/PlaylistView.tsx,68.28
src/components/shared/CachedImage.tsx,91.98
src/components/shared/IconButton.tsx,100.00
src/context/authContext.ts,100.00
src/context/playerContext.ts,98.15
src/helpers/getCachedImageBuffer.ts,93.97
src/helpers/getYoutubeTrack.ts,91.95
src/helpers/shuffleArray.ts,100.00
src/helpers/streamToBuffer.ts,100.00
src/icons.ts,100.00
src/index.tsx,100.00
src/routes.tsx,77.42
tsconfig.json,88.24
webpack.config.js,100.00
src/conf.ts,84.27
src/helpers/authorizationCodePKCEGrant.ts,100.00
src/helpers/generateCodeChallenge.ts,100.00
src/hooks/useAuth.ts,100.00
deploy/config.json,100.00
deploy/linux/spotube/default.desktop,100.00
deploy/linux/spotube/index.js,100.00
deploy/linux/spotube/qode.json,100.00
src/hooks/useAccessToken.ts,100.00
src/hooks/useSpotifyApi.ts,77.10
src/initializations/spotifyApi.ts,100.00
.vscode/tasks.json,46.15
src/helpers/showError.ts,57.89
src/hooks/useSpotifyApiError.ts,69.57
src/hooks/useSpotifyQuery.ts,60.26
spotube.sublime-workspace,100.00
src/components/TabMenu.tsx,58.97
src/components/shared/ErrorApplet.tsx,100.00
src/components/CurrentPlaylist.tsx,63.79
src/components/Library.tsx,83.22
src/hooks/useSpotifyMutation.ts,65.22
src/hooks/useTrackReaction.ts,81.76
deploy/linux/spotube/spotube.desktop,62.50
src/helpers/RandomColor.ts,68.75
src/helpers/msToMin:sec.ts,100.00
src/hooks/usePlaylistReaction.ts,82.58
assets/search-solid.svg,100.00
src/components/Search.tsx,98.76
src/components/SearchResultPlaylistCollection.tsx,100.00
src/hooks/useSpotifyInfiniteQuery.ts,100.00
.vscode/settings.json,63.53
src/components/SearchResultSongsCollection.tsx,100.00
src/components/shared/PlaceholderApplet.tsx,100.00
src/components/shared/PlaylistCard.tsx,99.07
src/components/shared/TrackButton.tsx,100.00
control,100.00
deb-config.json,100.00
deb-struct/DEBIAN/control,75.00
deb-struct/usr/bin/spotube,100.00
deb-struct/usr/lib/spotube/.DirIcon,100.00
deb-struct/usr/lib/spotube/AppRun,100.00
deb-struct/usr/lib/spotube/Spotube Icon.svg,100.00
deb-struct/usr/lib/spotube/assets/angle-left-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/backward-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/forward-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/heart-regular.svg,100.00
deb-struct/usr/lib/spotube/assets/heart-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/pause-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/play-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/random-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/search-solid.svg,100.00
deb-struct/usr/lib/spotube/assets/stop-solid.svg,100.00
deb-struct/usr/lib/spotube/doc/libdbus-1-3/copyright,100.00
deb-struct/usr/lib/spotube/doc/liblzma5/copyright,100.00
deb-struct/usr/lib/spotube/doc/libpcre32-3/copyright,100.00
deb-struct/usr/lib/spotube/doc/libsystemd0/copyright,100.00
deb-struct/usr/lib/spotube/index.js,100.00
deb-struct/usr/lib/spotube/qode.json,100.00
deb-struct/usr/lib/spotube/qt.conf,100.00
deb-struct/usr/lib/spotube/spotube.desktop,100.00
deb-struct/usr/share/applications/spotube.desktop,100.00
deploy/linux/spotube/Spotube Icon.svg,100.00
scripts/build-deb.js,100.00
assets/spotube_banner.svg,82.35
src/helpers/msToMin_sec.ts,100.00
deploy/win32/spotube/clear-installation.ps1,100.00
deploy/win32/spotube/install.bat,100.00
deploy/win32/spotube/make-install.ps1,100.00
deploy/win32/spotube/qode.json,100.00
deploy/win32/spotube/uninstall.bat,100.00
scripts/build-win32.ps1,100.00
assets/icon.svg,100.00
assets/music-solid.svg,100.00
assets/setting-cog.svg,100.00
assets/times-solid.svg,100.00
src/components/ManualLyricDialog.tsx,96.22
src/components/Settings.tsx,100.00
src/components/shared/Switch.tsx,100.00
src/helpers/fetchLyrics.ts,88.55
src/context/preferencesContext.ts,100.00
src/components/shared/CategoryCardView.tsx,100.00
assets/download-solid.svg,100.00
src/hooks/useDownloadQueue.ts,97.12
deploy/win32/spotube/deps/bootstrap-mpv.ps1,100.00
.dockerignore,66.67
Dockerfile,100.00
docker-compose.dev.yml,100.00
docker-compose.yml,100.00
.SRCINFO,100.00
PKGBUILD,100.00
aur-struct/.SRCINFO,100.00
aur-struct/PKGBUILD,82.56
esbuild.config.mjs,100.00
tsconfig.tsbuildinfo,70.86
.eslintrc.js,100.00
.prettierrc.js,100.00
src/components/Artist.tsx,100.00
src/hooks/useLogger.ts,100.00
src/initializations/logger.ts,100.00
.metadata,55.74
analysis_options.yaml,100.00
android/.gitignore,100.00
android/app/build.gradle,98.12
android/app/src/debug/AndroidManifest.xml,91.67
android/app/src/main/AndroidManifest.xml,99.18
android/app/src/main/kotlin/com/example/spotube/MainActivity.kt,100.00
android/app/src/main/res/drawable-v21/launch_background.xml,100.00
android/app/src/main/res/drawable/launch_background.xml,100.00
android/app/src/main/res/values-night/styles.xml,100.00
android/app/src/main/res/values/styles.xml,100.00
android/app/src/profile/AndroidManifest.xml,91.67
android/build.gradle,100.00
android/gradle.properties,100.00
android/gradle/wrapper/gradle-wrapper.properties,100.00
android/settings.gradle,100.00
ios/.gitignore,100.00
ios/Flutter/AppFrameworkInfo.plist,96.43
ios/Flutter/Debug.xcconfig,50.00
ios/Flutter/Release.xcconfig,50.00
ios/Runner.xcodeproj/project.pbxproj,59.59
ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata,100.00
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,100.00
ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme,98.89
ios/Runner.xcworkspace/contents.xcworkspacedata,70.00
ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100.00
ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,100.00
ios/Runner/AppDelegate.swift,70.00
ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json,99.19
ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json,100.00
