File,Top Contributor Share (%)
README.md,45.08
configs/autoencoder/autoencoder_kl_16x16x16.yaml,100.00
configs/autoencoder/autoencoder_kl_32x32x4.yaml,100.00
configs/autoencoder/autoencoder_kl_64x64x3.yaml,100.00
configs/autoencoder/autoencoder_kl_8x8x64.yaml,100.00
configs/latent-diffusion/lsun_churches_f8-autoencoder-ldm.yaml,100.00
data/example_conditioning/text_conditional/sample_0.txt,100.00
data/index_synset.yaml,100.00
environment.yaml,75.00
ldm/data/base.py,100.00
ldm/data/imagenet.py,100.00
ldm/data/lsun.py,100.00
ldm/lr_scheduler.py,100.00
ldm/models/autoencoder.py,100.00
ldm/models/diffusion/classifier.py,100.00
ldm/models/diffusion/ddim.py,75.40
ldm/models/diffusion/ddpm.py,99.73
ldm/modules/attention.py,100.00
ldm/modules/diffusionmodules/model.py,100.00
ldm/modules/diffusionmodules/openaimodel.py,96.00
ldm/modules/diffusionmodules/util.py,100.00
ldm/modules/distributions/distributions.py,100.00
ldm/modules/ema.py,100.00
ldm/modules/encoders/modules.py,55.98
ldm/modules/image_degradation/__init__.py,100.00
ldm/modules/image_degradation/bsrgan.py,100.00
ldm/modules/image_degradation/bsrgan_light.py,100.00
ldm/modules/image_degradation/utils_image.py,100.00
ldm/modules/losses/__init__.py,100.00
ldm/modules/losses/contperceptual.py,100.00
ldm/modules/x_transformer.py,99.84
ldm/util.py,58.25
main.py,100.00
models/first_stage_models/kl-f16/config.yaml,100.00
models/first_stage_models/kl-f32/config.yaml,100.00
models/first_stage_models/kl-f4/config.yaml,100.00
models/first_stage_models/kl-f8/config.yaml,100.00
models/first_stage_models/vq-f16/config.yaml,100.00
models/first_stage_models/vq-f4-noattn/config.yaml,100.00
models/first_stage_models/vq-f4/config.yaml,100.00
models/first_stage_models/vq-f8-n256/config.yaml,100.00
models/first_stage_models/vq-f8/config.yaml,100.00
models/ldm/bsr_sr/config.yaml,100.00
models/ldm/celeba256/config.yaml,100.00
models/ldm/cin256/config.yaml,100.00
models/ldm/ffhq256/config.yaml,100.00
models/ldm/inpainting_big/config.yaml,100.00
models/ldm/layout2img-openimages256/config.yaml,100.00
models/ldm/lsun_beds256/config.yaml,100.00
models/ldm/lsun_churches256/config.yaml,100.00
models/ldm/semantic_synthesis512/config.yaml,100.00
models/ldm/text2img256/config.yaml,100.00
notebook_helpers.py,100.00
scripts/download_first_stages.sh,100.00
scripts/download_models.sh,96.36
scripts/inpaint.py,100.00
scripts/sample_diffusion.py,100.00
setup.py,100.00
configs/latent-diffusion/celebahq-ldm-vq-4.yaml,100.00
configs/latent-diffusion/cin-ldm-vq-f8.yaml,100.00
configs/latent-diffusion/ffhq-ldm-vq-4.yaml,100.00
configs/latent-diffusion/lsun_bedrooms-ldm-vq-4.yaml,100.00
configs/latent-diffusion/lsun_churches-ldm-kl-8.yaml,100.00
models/ldm/semantic_synthesis256/config.yaml,100.00
LICENSE,75.23
ldm/modules/losses/vqperceptual.py,100.00
Stable_Diffusion_v1_Model_Card.md,90.32
configs/latent-diffusion/cin256-v2.yaml,100.00
configs/latent-diffusion/txt2img-1p4B-eval.yaml,100.00
configs/retrieval-augmented-diffusion/768x768.yaml,100.00
configs/stable-diffusion/v1-inference.yaml,100.00
data/imagenet_clsidx_to_label.txt,100.00
ldm/models/diffusion/plms.py,100.00
scripts/img2img.py,100.00
scripts/knn2img.py,100.00
scripts/latent_imagenet_diffusion.ipynb,100.00
scripts/train_searcher.py,100.00
scripts/txt2img.py,74.01
scripts/tests/test_watermark.py,100.00
ldm/models/diffusion/dpm_solver/__init__.py,100.00
ldm/models/diffusion/dpm_solver/dpm_solver.py,100.00
ldm/models/diffusion/dpm_solver/sampler.py,97.65
