File,Top Contributor Share (%)
.gitignore,98.28
.idea/gradle.xml,100.00
.idea/runConfigurations.xml,100.00
README.md,57.54
app/build.gradle,49.46
app/proguard-rules.pro,70.37
app/src/androidTest/java/com/termux/ApplicationTest.java,100.00
app/src/main/AndroidManifest.xml,47.78
app/src/main/assets/help.html,100.00
app/src/main/java/com/termux/app/DialogUtils.java,100.00
app/src/main/java/com/termux/app/FullScreenHelper.java,100.00
app/src/main/java/com/termux/app/TermuxActivity.java,54.36
app/src/main/java/com/termux/app/TermuxHelpActivity.java,98.54
app/src/main/java/com/termux/app/TermuxInstaller.java,60.45
app/src/main/java/com/termux/app/TermuxPreferences.java,67.29
app/src/main/java/com/termux/app/TermuxService.java,63.45
app/src/main/java/com/termux/drawer/DrawerLayout.java,100.00
app/src/main/java/com/termux/drawer/DrawerLayoutCompatApi21.java,100.00
app/src/main/java/com/termux/drawer/ViewDragHelper.java,100.00
app/src/main/java/com/termux/drawer/package-info.java,100.00
app/src/main/java/com/termux/terminal/ByteQueue.java,100.00
app/src/main/java/com/termux/terminal/EmulatorDebug.java,100.00
app/src/main/java/com/termux/terminal/JNI.java,100.00
app/src/main/java/com/termux/terminal/KeyHandler.java,100.00
app/src/main/java/com/termux/terminal/TerminalBuffer.java,100.00
app/src/main/java/com/termux/terminal/TerminalColorScheme.java,100.00
app/src/main/java/com/termux/terminal/TerminalColors.java,100.00
app/src/main/java/com/termux/terminal/TerminalEmulator.java,100.00
app/src/main/java/com/termux/terminal/TerminalOutput.java,100.00
app/src/main/java/com/termux/terminal/TerminalRow.java,100.00
app/src/main/java/com/termux/terminal/TerminalSession.java,100.00
app/src/main/java/com/termux/terminal/TextStyle.java,100.00
app/src/main/java/com/termux/terminal/WcWidth.java,100.00
app/src/main/java/com/termux/view/GestureAndScaleRecognizer.java,100.00
app/src/main/java/com/termux/view/TerminalKeyListener.java,100.00
app/src/main/java/com/termux/view/TerminalRenderer.java,100.00
app/src/main/java/com/termux/view/TerminalView.java,100.00
app/src/main/jni/Android.mk,100.00
app/src/main/jni/Application.mk,100.00
app/src/main/jni/termux.c,100.00
app/src/main/res/drawable/current_session.xml,57.14
app/src/main/res/drawable/selected_session_background.xml,100.00
app/src/main/res/drawable/session_ripple.xml,70.00
app/src/main/res/drawable/terminal_scroll_shape.xml,100.00
app/src/main/res/layout/drawer_layout.xml,91.97
