File,Top Contributor Share (%)
.cvsignore,100.00
AUTHORS,42.86
COPYING,76.67
ChangeLog,27.35
INSTALL,98.71
Makefile.am,90.03
Makefile.in,35.73
NEWS,100.00
README,38.83
ReleaseNotes,40.56
acinclude.m4,98.81
aclocal.m4,72.65
ccmain/Makefile.am,24.32
ccmain/Makefile.in,40.13
ccmain/adaptions.cpp,82.10
ccmain/adaptions.h,89.34
ccmain/applybox.cpp,34.83
ccmain/applybox.h,53.38
ccmain/baseapi.cpp,49.13
ccmain/baseapi.h,59.55
ccmain/blobcmp.cpp,83.52
ccmain/blobcmp.h,100.00
ccmain/callnet.cpp,100.00
ccmain/callnet.h,86.49
ccmain/charcut.cpp,82.27
ccmain/charcut.h,53.36
ccmain/charsample.cpp,87.36
ccmain/control.cpp,30.77
ccmain/control.h,69.42
ccmain/docqual.cpp,67.02
ccmain/docqual.h,86.59
ccmain/expandblob.cpp,100.00
ccmain/expandblob.h,100.00
ccmain/fixspace.cpp,57.33
ccmain/fixspace.h,77.42
ccmain/fixxht.cpp,63.66
ccmain/fixxht.h,92.93
ccmain/imgscale.cpp,96.86
ccmain/imgscale.h,100.00
ccmain/matmatch.cpp,84.52
ccmain/matmatch.h,92.31
ccmain/output.cpp,71.51
ccmain/output.h,62.92
ccmain/paircmp.cpp,82.31
ccmain/paircmp.h,100.00
ccmain/reject.cpp,65.62
ccmain/reject.h,81.02
ccmain/scaleimg.cpp,93.13
ccmain/scaleimg.h,100.00
ccmain/tessbox.cpp,52.19
ccmain/tessbox.h,88.71
ccmain/tessedit.cpp,29.94
ccmain/tessedit.h,80.72
ccmain/tessembedded.h,100.00
ccmain/tesseractmain.cpp,58.13
ccmain/tesseractmain.h,92.06
ccmain/tessvars.cpp,84.44
ccmain/tessvars.h,90.57
ccmain/tfacep.h,90.98
ccmain/tfacepp.cpp,37.03
ccmain/tfacepp.h,95.51
ccmain/tstruct.cpp,76.38
ccmain/tstruct.h,93.91
ccmain/werdit.cpp,81.78
ccmain/werdit.h,85.90
ccstruct/Makefile.am,24.17
ccstruct/Makefile.in,37.65
ccstruct/blckerr.h,100.00
ccstruct/blobbox.cpp,52.46
ccstruct/blobbox.h,34.48
ccstruct/blobs.cpp,35.21
ccstruct/blobs.h,37.18
ccstruct/blread.cpp,89.35
ccstruct/blread.h,76.83
ccstruct/callcpp.cpp,73.37
ccstruct/coutln.cpp,41.03
ccstruct/coutln.h,44.00
ccstruct/crakedge.h,72.22
ccstruct/genblob.cpp,95.68
ccstruct/genblob.h,91.23
ccstruct/hpddef.h,100.00
ccstruct/hpdsizes.h,52.94
ccstruct/ipoints.h,95.04
ccstruct/labls.cpp,95.43
ccstruct/labls.h,90.48
ccstruct/linlsq.cpp,58.87
ccstruct/linlsq.h,47.44
ccstruct/lmedsq.cpp,89.00
ccstruct/lmedsq.h,93.33
ccstruct/mod128.cpp,91.74
ccstruct/mod128.h,78.70
ccstruct/normalis.cpp,40.72
ccstruct/normalis.h,47.83
ccstruct/ocrblock.cpp,46.70
ccstruct/ocrblock.h,39.72
ccstruct/ocrrow.cpp,75.52
ccstruct/ocrrow.h,57.33
ccstruct/pageblk.cpp,93.41
ccstruct/pageblk.h,83.91
ccstruct/pageres.cpp,56.49
ccstruct/pageres.h,44.00
ccstruct/pdblock.cpp,75.94
ccstruct/pdblock.h,42.79
ccstruct/pdclass.h,77.14
ccstruct/points.cpp,33.86
ccstruct/points.h,49.48
ccstruct/polyaprx.cpp,79.64
ccstruct/polyaprx.h,91.07
ccstruct/polyblk.cpp,63.32
ccstruct/polyblk.h,50.18
ccstruct/polyblob.cpp,80.94
ccstruct/polyblob.h,76.42
ccstruct/polyvert.cpp,95.83
ccstruct/polyvert.h,86.67
ccstruct/poutline.cpp,84.68
ccstruct/poutline.h,84.56
ccstruct/quadlsq.cpp,65.92
ccstruct/quadlsq.h,94.37
ccstruct/quadratc.cpp,100.00
ccstruct/quadratc.h,92.65
ccstruct/quspline.cpp,75.49
ccstruct/quspline.h,80.28
ccstruct/ratngs.cpp,39.22
ccstruct/ratngs.h,38.33
ccstruct/rect.cpp,63.22
ccstruct/rect.h,42.84
ccstruct/rejctmap.cpp,87.06
ccstruct/rejctmap.h,75.94
ccstruct/rwpoly.cpp,93.68
ccstruct/rwpoly.h,100.00
ccstruct/statistc.cpp,60.49
ccstruct/statistc.h,48.82
ccstruct/stepblob.cpp,44.32
ccstruct/stepblob.h,44.75
ccstruct/txtregn.cpp,92.37
ccstruct/txtregn.h,76.73
ccstruct/vecfuncs.cpp,95.45
ccstruct/vecfuncs.h,92.86
ccstruct/werd.cpp,56.65
ccstruct/werd.h,55.29
ccutil/Makefile.am,35.62
ccutil/Makefile.in,35.87
ccutil/basedir.cpp,58.10
ccutil/basedir.h,82.05
ccutil/bits16.cpp,90.91
ccutil/bits16.h,75.31
ccutil/clst.cpp,79.44
ccutil/clst.h,78.69
ccutil/debugwin.cpp,89.77
ccutil/debugwin.h,92.79
ccutil/elst.cpp,83.52
ccutil/elst.h,65.98
ccutil/elst2.cpp,83.03
ccutil/elst2.h,77.45
ccutil/errcode.cpp,77.44
ccutil/errcode.h,63.03
ccutil/fileerr.h,100.00
ccutil/getopt.cpp,100.00
ccutil/getopt.h,88.24
ccutil/globaloc.cpp,61.08
ccutil/globaloc.h,81.63
ccutil/hashfn.cpp,86.36
ccutil/hashfn.h,58.68
ccutil/host.h,77.51
ccutil/hosthplb.h,100.00
ccutil/lsterr.h,71.67
ccutil/mainblk.cpp,47.99
ccutil/mainblk.h,81.36
ccutil/memblk.cpp,93.65
ccutil/memblk.h,82.53
ccutil/memry.cpp,93.16
ccutil/memry.h,86.10
ccutil/memryerr.h,100.00
ccutil/mfcpch.cpp,100.00
ccutil/mfcpch.h,92.50
ccutil/ndminx.h,71.43
ccutil/notdll.h,100.00
ccutil/nwmain.h,84.62
ccutil/ocrclass.h,65.50
ccutil/ocrshell.cpp,89.19
ccutil/ocrshell.h,85.65
ccutil/platform.h,52.38
ccutil/scanutils.cpp,69.08
ccutil/scanutils.h,59.14
ccutil/secname.h,90.00
ccutil/serialis.cpp,40.95
ccutil/serialis.h,40.77
ccutil/stderr.h,100.00
ccutil/strngs.cpp,53.29
ccutil/strngs.h,46.35
ccutil/tessclas.h,100.00
ccutil/tprintf.cpp,67.00
ccutil/tprintf.h,50.00
ccutil/unichar.cpp,53.53
ccutil/unichar.h,40.72
ccutil/varable.cpp,78.44
ccutil/varable.h,78.48
classify/Makefile.am,24.76
classify/Makefile.in,37.86
classify/adaptive.cpp,51.84
classify/adaptive.h,76.83
classify/adaptmatch.cpp,35.88
classify/adaptmatch.h,74.77
classify/baseline.cpp,92.06
classify/baseline.h,92.86
classify/blobclass.cpp,25.10
classify/blobclass.h,61.25
classify/chartoname.cpp,100.00
classify/chartoname.h,100.00
classify/cluster.cpp,63.86
classify/cluster.h,68.98
classify/clusttool.cpp,57.55
classify/clusttool.h,62.50
classify/cutoffs.cpp,47.18
classify/cutoffs.h,94.23
classify/extern.h,94.59
classify/extract.cpp,71.43
classify/extract.h,73.47
classify/featdefs.cpp,48.90
classify/featdefs.h,69.11
classify/flexfx.cpp,73.50
classify/flexfx.h,82.93
classify/float2int.cpp,54.55
classify/float2int.h,90.28
classify/fpoint.cpp,57.14
classify/fpoint.h,80.52
classify/fxdefs.cpp,66.67
classify/fxdefs.h,83.78
classify/fxid.h,90.79
classify/hideedge.cpp,100.00
classify/hideedge.h,97.44
classify/intfx.cpp,44.31
classify/intfx.h,45.32
classify/intmatcher.cpp,60.73
classify/intmatcher.h,49.59
classify/intproto.cpp,43.05
classify/intproto.h,57.76
classify/kdtree.cpp,56.88
classify/kdtree.h,69.41
classify/mf.cpp,61.27
classify/mf.h,79.63
classify/mfdefs.cpp,71.60
classify/mfdefs.h,95.71
classify/mfoutline.cpp,60.64
classify/mfoutline.h,80.99
classify/mfx.cpp,73.32
classify/mfx.h,64.20
classify/normfeat.cpp,55.23
classify/normfeat.h,87.50
classify/normmatch.cpp,59.76
classify/normmatch.h,89.39
classify/ocrfeatures.cpp,59.39
classify/ocrfeatures.h,65.38
classify/outfeat.cpp,70.05
classify/outfeat.h,96.20
classify/picofeat.cpp,55.41
classify/picofeat.h,65.00
classify/protos.cpp,74.88
classify/protos.h,83.72
classify/sigmenu.cpp,96.15
classify/sigmenu.h,100.00
classify/speckle.cpp,55.75
classify/speckle.h,84.15
classify/xform2d.cpp,62.28
classify/xform2d.h,74.19
config/ac_compile_check_sizeof.m4,100.00
config/ac_create_stdint_h.m4,100.00
config/ac_define_versionlevel.m4,100.00
config/acinclude_custom.m4,100.00
config/ax_create_stdint_h.m4,100.00
config/config.guess,63.96
config/config.h.in,31.42
config/config.sub,62.51
config/depcomp,60.99
config/install-sh,66.96
config/missing,55.39
config/mkinstalldirs,100.00
configure,31.14
configure.ac,33.62
cutil/Makefile.am,28.57
cutil/Makefile.in,37.41
cutil/bitvec.cpp,64.21
cutil/bitvec.h,68.03
cutil/callcpp.h,83.33
cutil/const.h,93.10
cutil/cutil.cpp,82.14
cutil/cutil.h,92.44
cutil/danerror.cpp,83.33
cutil/danerror.h,100.00
cutil/debug.cpp,100.00
cutil/debug.h,100.00
cutil/efio.cpp,72.09
cutil/efio.h,100.00
cutil/emalloc.cpp,74.59
cutil/emalloc.h,92.31
cutil/freelist.cpp,82.52
cutil/freelist.h,94.52
cutil/funcdefs.h,100.00
cutil/general.h,100.00
cutil/globals.cpp,70.65
cutil/globals.h,63.11
cutil/listio.cpp,97.14
cutil/listio.h,97.73
cutil/minmax.h,100.00
cutil/oldheap.cpp,71.70
cutil/oldheap.h,84.56
cutil/oldlist.cpp,69.68
cutil/oldlist.h,90.44
cutil/structures.cpp,94.29
cutil/structures.h,99.12
cutil/tessarray.cpp,99.14
cutil/tessarray.h,97.08
cutil/tordvars.cpp,98.96
cutil/tordvars.h,76.92
cutil/variables.cpp,93.37
cutil/variables.h,98.82
dict/Makefile.am,28.99
dict/Makefile.in,37.57
dict/choicearr.h,100.00
dict/choices.cpp,54.29
dict/choices.h,52.91
dict/context.cpp,61.48
dict/context.h,73.68
dict/dawg.cpp,44.19
dict/dawg.h,48.26
dict/hyphen.cpp,48.95
dict/hyphen.h,87.69
dict/matchdefs.h,82.18
dict/permdawg.cpp,34.94
dict/permdawg.h,79.66
dict/permnum.cpp,85.19
dict/permnum.h,88.76
dict/permute.cpp,42.07
dict/permute.h,42.92
dict/states.cpp,88.22
dict/states.h,86.05
dict/stopper.cpp,47.90
dict/stopper.h,48.79
dict/trie.cpp,46.34
dict/trie.h,38.72
display/Makefile.am,100.00
display/Makefile.in,58.49
display/cmndwin.cpp,100.00
display/cmndwin.h,96.52
display/pagewalk.cpp,100.00
display/pagewalk.h,100.00
display/pgedit.cpp,99.95
display/pgedit.h,100.00
display/pgeditx.h,100.00
display/sbdmenu.cpp,100.00
display/sbdmenu.h,97.42
display/submen.h,100.00
display/tessio.h,100.00
display/varabled.cpp,97.59
display/varabled.h,100.00
display/varblmen.cpp,100.00
display/varblmen.h,100.00
display/varblwin.cpp,100.00
display/varblwin.h,100.00
doc/main.txt,100.00
image/Makefile.am,31.11
image/Makefile.in,47.99
image/bitstrm.cpp,87.22
image/bitstrm.h,78.49
image/img.h,42.45
image/imgbmp.cpp,77.97
image/imgbmp.h,72.46
image/imgerrs.h,100.00
image/imgio.cpp,87.47
image/imgio.h,100.00
image/imgs.cpp,80.47
image/imgs.h,70.34
image/imgtiff.cpp,76.30
image/imgtiff.h,63.57
image/imgunpk.h,70.29
tessdata/DangAmbigs,100.00
tessdata/blackText.params,100.00
tessdata/configs/api_config,97.83
tessdata/configs/api_resaljet,100.00
tessdata/configs/box.train,72.73
tessdata/configs/inter,66.67
tessdata/configs/oldapi_config,100.00
tessdata/configs/oldbox.train,100.00
tessdata/configs/var_api_config,100.00
tessdata/configs/var_box.train,100.00
tessdata/configs/variable_config,100.00
tessdata/confsets,100.00
tessdata/newdiff.asccodes,100.00
tessdata/normproto,100.00
tessdata/pffmtable,100.00
tessdata/soptable.cls,100.00
tessdata/tessconfigs/batch,98.75
tessdata/tessconfigs/matdemo,96.47
tessdata/tessconfigs/old_batch,100.00
tessdata/tessconfigs/segdemo,91.36
tessdata/tessconfigs/var_batch,100.00
tessdata/test_matrix,100.00
tessdata/user-words,100.00
tesseract.dsp,90.92
tesseract.dsw,56.91
textord/Makefile.am,30.00
textord/Makefile.in,37.33
textord/blkocc.cpp,82.23
textord/blkocc.h,79.56
textord/blobcmpl.h,100.00
textord/drawedg.cpp,62.70
textord/drawedg.h,75.56
textord/drawtord.cpp,74.10
textord/drawtord.h,70.39
textord/edgblob.cpp,50.12
textord/edgblob.h,77.52
textord/edgloop.cpp,81.71
textord/edgloop.h,89.19
textord/fpchop.cpp,85.42
textord/fpchop.h,79.33
textord/gap_map.cpp,75.45
textord/gap_map.h,59.70
textord/makerow.cpp,60.78
textord/makerow.h,61.46
textord/oldbasel.cpp,85.10
textord/oldbasel.h,84.78
textord/pithsync.cpp,79.73
textord/pithsync.h,59.03
textord/pitsync1.cpp,84.16
textord/pitsync1.h,74.18
textord/scanedg.cpp,64.84
textord/scanedg.h,51.39
textord/sortflts.cpp,84.21
textord/sortflts.h,68.09
textord/tessout.h,92.68
textord/topitch.cpp,80.18
textord/topitch.h,65.66
textord/tordmain.cpp,52.53
textord/tordmain.h,82.50
textord/tospace.cpp,69.59
textord/tospace.h,63.70
textord/tovars.cpp,88.78
textord/tovars.h,90.38
textord/underlin.cpp,84.55
textord/underlin.h,100.00
textord/wordseg.cpp,66.17
textord/wordseg.h,67.31
training/Makefile.am,30.00
training/Makefile.in,35.30
training/cnTraining.cpp,89.27
training/cnTraining.dsp,82.25
training/cnTraining1.dsp,100.00
training/mergenf.cpp,52.08
training/mergenf.h,90.60
training/mfTraining.cpp,76.14
training/mfTraining.dsp,84.59
training/name2char.cpp,88.77
training/name2char.h,100.00
training/training.cpp,66.44
training/training.h,92.20
viewer/Makefile.am,32.43
viewer/Makefile.in,37.13
viewer/evntlst.cpp,97.18
viewer/evntlst.h,100.00
viewer/evnts.cpp,100.00
viewer/evnts.h,100.00
viewer/grphics.cpp,99.70
viewer/grphics.h,95.71
viewer/grphshm.cpp,100.00
viewer/grphshm.h,100.00
viewer/sbgconst.h,100.00
viewer/sbgdefs.h,100.00
viewer/sbgtypes.h,100.00
viewer/showim.cpp,100.00
viewer/showim.h,100.00
wordrec/Makefile.am,31.63
wordrec/Makefile.in,37.71
wordrec/associate.cpp,50.51
wordrec/associate.h,45.15
wordrec/badwords.cpp,73.10
wordrec/badwords.h,100.00
wordrec/bestfirst.cpp,38.29
wordrec/bestfirst.h,83.33
wordrec/charsample.h,93.69
wordrec/chop.cpp,77.10
wordrec/chop.h,78.87
wordrec/chopper.cpp,37.34
wordrec/chopper.h,78.20
wordrec/closed.cpp,89.47
wordrec/closed.h,91.55
wordrec/djmenus.cpp,100.00
wordrec/djmenus.h,100.00
wordrec/drawfx.cpp,71.64
wordrec/drawfx.h,91.67
wordrec/findseam.cpp,63.46
wordrec/findseam.h,81.18
wordrec/gradechop.cpp,78.20
wordrec/gradechop.h,88.35
wordrec/heuristic.cpp,63.72
wordrec/heuristic.h,85.71
wordrec/makechop.cpp,79.83
wordrec/makechop.h,77.53
wordrec/matchtab.cpp,51.34
wordrec/matchtab.h,49.45
wordrec/matrix.cpp,77.12
wordrec/matrix.h,59.77
wordrec/measure.h,88.24
wordrec/metrics.cpp,90.40
wordrec/metrics.h,98.48
wordrec/mfvars.cpp,87.93
wordrec/mfvars.h,100.00
wordrec/msmenus.cpp,85.27
wordrec/msmenus.h,100.00
wordrec/olutil.cpp,93.87
wordrec/olutil.h,96.97
wordrec/outlines.cpp,83.09
wordrec/outlines.h,98.67
wordrec/pieces.cpp,46.12
wordrec/pieces.h,81.48
