File,Top Contributor Share (%)
.commitlintrc.json,100.00
.editorconfig,100.00
.eslintrc.json,100.00
.gitignore,86.05
.husky/commit-msg,100.00
.husky/pre-commit,100.00
.npmrc,100.00
.nvmrc,100.00
.vscode/settings.json,100.00
README.md,96.61
apps/www/.env.example,100.00
apps/www/.gitignore,100.00
apps/www/app/docs/[[...slug]]/head.tsx,100.00
apps/www/app/docs/[[...slug]]/page.tsx,97.71
apps/www/app/docs/layout.tsx,97.22
apps/www/app/head.tsx,100.00
apps/www/app/layout.tsx,97.09
apps/www/app/page.tsx,100.00
apps/www/components/analytics.tsx,100.00
apps/www/components/apple-music-demo.tsx,100.00
apps/www/components/callout.tsx,98.11
apps/www/components/card.tsx,100.00
apps/www/components/code-block-wrapper.tsx,98.41
apps/www/components/component-card.tsx,100.00
apps/www/components/component-example.tsx,99.19
apps/www/components/component-source.tsx,100.00
apps/www/components/copy-button.tsx,98.10
apps/www/components/examples/.eslintrc.json,100.00
apps/www/components/examples/accordion/demo.tsx,100.00
apps/www/components/examples/alert-dialog/demo.tsx,97.44
apps/www/components/examples/aspect-ratio/demo.tsx,100.00
apps/www/components/examples/avatar/demo.tsx,100.00
apps/www/components/examples/button/demo.tsx,100.00
apps/www/components/examples/button/ghost.tsx,100.00
apps/www/components/examples/button/link.tsx,100.00
apps/www/components/examples/button/loading.tsx,100.00
apps/www/components/examples/button/outline.tsx,100.00
apps/www/components/examples/button/subtle.tsx,100.00
apps/www/components/examples/button/with-icon.tsx,100.00
apps/www/components/examples/checkbox/demo.tsx,100.00
apps/www/components/examples/checkbox/disabled.tsx,100.00
apps/www/components/examples/checkbox/with-text.tsx,100.00
apps/www/components/examples/collapsible/demo.tsx,100.00
apps/www/components/examples/context-menu/demo.tsx,100.00
apps/www/components/examples/dialog/demo.tsx,100.00
apps/www/components/examples/dropdown-menu/checkboxes.tsx,100.00
apps/www/components/examples/dropdown-menu/demo.tsx,100.00
apps/www/components/examples/dropdown-menu/radio-group.tsx,100.00
apps/www/components/examples/hover-card/demo.tsx,100.00
apps/www/components/examples/index.tsx,84.78
apps/www/components/examples/input/demo.tsx,100.00
apps/www/components/examples/input/disabled.tsx,100.00
apps/www/components/examples/input/with-button.tsx,100.00
apps/www/components/examples/input/with-label.tsx,100.00
apps/www/components/examples/input/with-text.tsx,100.00
apps/www/components/examples/label/demo.tsx,100.00
apps/www/components/examples/menubar/demo.tsx,100.00
apps/www/components/examples/popover/demo.tsx,100.00
apps/www/components/examples/progress/demo.tsx,100.00
apps/www/components/examples/radio-group/demo.tsx,100.00
apps/www/components/examples/scroll-area/demo.tsx,100.00
apps/www/components/examples/select/demo.tsx,100.00
apps/www/components/examples/separator/demo.tsx,100.00
apps/www/components/examples/slider/demo.tsx,100.00
apps/www/components/examples/switch/demo.tsx,100.00
apps/www/components/examples/tabs/demo.tsx,100.00
apps/www/components/examples/textarea/demo.tsx,100.00
apps/www/components/examples/textarea/disabled.tsx,100.00
apps/www/components/examples/textarea/with-button.tsx,100.00
apps/www/components/examples/textarea/with-label.tsx,100.00
apps/www/components/examples/textarea/with-text.tsx,100.00
apps/www/components/examples/tooltip/demo.tsx,100.00
apps/www/components/examples/typography/blockquote.tsx,100.00
apps/www/components/examples/typography/demo.tsx,100.00
apps/www/components/examples/typography/h1.tsx,100.00
apps/www/components/examples/typography/h2.tsx,100.00
apps/www/components/examples/typography/h3.tsx,100.00
apps/www/components/examples/typography/h4.tsx,100.00
apps/www/components/examples/typography/inline-code.tsx,100.00
apps/www/components/examples/typography/large.tsx,100.00
apps/www/components/examples/typography/lead.tsx,100.00
apps/www/components/examples/typography/list.tsx,100.00
apps/www/components/examples/typography/p.tsx,100.00
apps/www/components/examples/typography/small.tsx,100.00
apps/www/components/examples/typography/subtle.tsx,100.00
apps/www/components/examples/typography/table.tsx,100.00
apps/www/components/fonts.tsx,91.18
apps/www/components/icons.tsx,88.03
apps/www/components/main-nav.tsx,69.25
apps/www/components/mdx-head.tsx,100.00
apps/www/components/mdx.tsx,100.00
apps/www/components/mode-toggle.tsx,96.77
apps/www/components/page-header.tsx,100.00
apps/www/components/pager.tsx,100.00
apps/www/components/promo-video.tsx,100.00
apps/www/components/search.tsx,96.97
apps/www/components/sidebar-nav.tsx,100.00
apps/www/components/site-footer.tsx,100.00
apps/www/components/site-header.tsx,95.86
apps/www/components/tailwind-indicator.tsx,86.96
apps/www/components/theme-provider.tsx,100.00
apps/www/components/toc.tsx,100.00
apps/www/components/ui/accordion.tsx,100.00
apps/www/components/ui/alert-dialog.tsx,100.00
apps/www/components/ui/aspect-ratio.tsx,100.00
apps/www/components/ui/avatar.tsx,79.69
apps/www/components/ui/button.tsx,83.56
apps/www/components/ui/checkbox.tsx,94.12
apps/www/components/ui/collapsible.tsx,100.00
apps/www/components/ui/context-menu.tsx,100.00
apps/www/components/ui/dialog.tsx,100.00
apps/www/components/ui/dropdown-menu.tsx,98.62
apps/www/components/ui/hover-card.tsx,100.00
apps/www/components/ui/input.tsx,100.00
apps/www/components/ui/label.tsx,96.88
apps/www/components/ui/menubar.tsx,100.00
apps/www/components/ui/popover.tsx,100.00
apps/www/components/ui/progress.tsx,100.00
apps/www/components/ui/radio-group.tsx,93.88
apps/www/components/ui/scroll-area.tsx,100.00
apps/www/components/ui/select.tsx,100.00
apps/www/components/ui/separator.tsx,100.00
apps/www/components/ui/slider.tsx,96.88
apps/www/components/ui/switch.tsx,97.14
apps/www/components/ui/tabs.tsx,80.00
apps/www/components/ui/textarea.tsx,96.15
apps/www/components/ui/tooltip.tsx,100.00
apps/www/config/docs.ts,90.45
apps/www/config/site.ts,96.77
apps/www/content/docs/index.mdx,97.46
apps/www/content/docs/installation.mdx,99.45
apps/www/content/docs/primitives/accordion.mdx,100.00
apps/www/content/docs/primitives/alert-dialog.mdx,98.48
apps/www/content/docs/primitives/aspect-ratio.mdx,100.00
apps/www/content/docs/primitives/avatar.mdx,100.00
apps/www/content/docs/primitives/button.mdx,88.66
apps/www/content/docs/primitives/checkbox.mdx,100.00
apps/www/content/docs/primitives/collapsible.mdx,88.46
apps/www/content/docs/primitives/context-menu.mdx,100.00
apps/www/content/docs/primitives/dialog.mdx,62.24
apps/www/content/docs/primitives/dropdown-menu.mdx,98.59
apps/www/content/docs/primitives/hover-card.mdx,100.00
