File,Top Contributor Share (%)
flake.lock,95.03
flake.nix,18.42
patches/protoc.patch,100.00
union/.github/workflows/release.yml,100.00
union/.gitignore,100.00
union/app/app.go,86.29
union/app/encoding.go,100.00
union/app/export.go,97.46
union/app/genesis.go,100.00
union/app/params/encoding.go,100.00
union/app/simulation_test.go,100.00
union/cmd/uniond/cmd/config.go,100.00
union/cmd/uniond/cmd/genaccounts.go,100.00
union/cmd/uniond/cmd/root.go,93.39
union/cmd/uniond/main.go,100.00
union/config.yml,100.00
union/docs/docs.go,100.00
union/docs/static/openapi.yml,93.27
union/docs/template/index.tpl,100.00
union/go.mod,67.08
union/go.sum,72.82
union/proto/union/union/genesis.proto,100.00
union/proto/union/union/params.proto,100.00
union/proto/union/union/query.proto,100.00
union/proto/union/union/tx.proto,100.00
union/readme.md,100.00
union/testutil/keeper/union.go,94.55
union/testutil/network/network.go,75.47
union/testutil/nullify/nullify.go,100.00
union/testutil/sample/sample.go,100.00
union/tools/tools.go,91.67
union/x/union/client/cli/query.go,100.00
union/x/union/client/cli/query_params.go,85.00
union/x/union/client/cli/tx.go,100.00
union/x/union/genesis.go,100.00
union/x/union/genesis_test.go,100.00
union/x/union/keeper/keeper.go,97.87
union/x/union/keeper/msg_server.go,100.00
union/x/union/keeper/msg_server_test.go,100.00
union/x/union/keeper/params.go,100.00
union/x/union/keeper/params_test.go,100.00
union/x/union/keeper/query.go,100.00
union/x/union/keeper/query_params.go,100.00
union/x/union/keeper/query_params_test.go,100.00
union/x/union/module.go,99.38
union/x/union/module_simulation.go,98.46
union/x/union/simulation/helpers.go,100.00
union/x/union/types/codec.go,100.00
union/x/union/types/errors.go,100.00
union/x/union/types/expected_keepers.go,100.00
union/x/union/types/genesis.go,100.00
union/x/union/types/genesis.pb.go,99.38
union/x/union/types/genesis_test.go,93.02
union/x/union/types/keys.go,100.00
union/x/union/types/params.go,100.00
union/x/union/types/params.pb.go,99.24
union/x/union/types/query.pb.go,99.44
union/x/union/types/query.pb.gw.go,100.00
union/x/union/types/tx.pb.go,97.53
union/x/union/types/types.go,100.00
.github/workflows/main.yml,100.00
.gitignore,24.06
uniond/.gitignore,100.00
uniond/app/app.go,46.48
uniond/app/encoding.go,100.00
uniond/app/export.go,68.11
uniond/app/genesis.go,100.00
uniond/app/params/encoding.go,100.00
uniond/cmd/uniond/cmd/config.go,100.00
uniond/cmd/uniond/cmd/genaccounts.go,100.00
uniond/cmd/uniond/cmd/root.go,53.04
uniond/cmd/uniond/main.go,57.14
uniond/config.yml,76.47
uniond/docs/docs.go,100.00
uniond/docs/static/openapi.yml,62.13
uniond/docs/template/index.tpl,96.97
uniond/go.mod,48.24
uniond/go.sum,33.21
uniond/readme.md,92.73
uniond/testutil/keeper/union.go,100.00
uniond/testutil/network/network.go,62.34
uniond/tools/tools.go,100.00
uniond/vendor/cloud.google.com/go/LICENSE,100.00
uniond/vendor/cloud.google.com/go/compute/LICENSE,100.00
uniond/vendor/cloud.google.com/go/compute/internal/version.go,81.82
uniond/vendor/cloud.google.com/go/compute/metadata/CHANGES.md,57.78
uniond/vendor/cloud.google.com/go/compute/metadata/LICENSE,100.00
uniond/vendor/cloud.google.com/go/compute/metadata/README.md,100.00
uniond/vendor/cloud.google.com/go/compute/metadata/metadata.go,59.15
uniond/vendor/cloud.google.com/go/compute/metadata/retry.go,99.13
uniond/vendor/cloud.google.com/go/compute/metadata/retry_linux.go,100.00
uniond/vendor/cloud.google.com/go/compute/metadata/tidyfix.go,100.00
uniond/vendor/cloud.google.com/go/iam/CHANGES.md,49.45
uniond/vendor/cloud.google.com/go/iam/LICENSE,100.00
uniond/vendor/cloud.google.com/go/iam/README.md,100.00
uniond/vendor/cloud.google.com/go/iam/apiv1/iampb/iam_policy.pb.go,95.32
uniond/vendor/cloud.google.com/go/iam/apiv1/iampb/options.pb.go,90.34
uniond/vendor/cloud.google.com/go/iam/apiv1/iampb/policy.pb.go,90.83
uniond/vendor/cloud.google.com/go/iam/iam.go,100.00
uniond/vendor/cloud.google.com/go/internal/.repo-metadata-full.json,54.21
uniond/vendor/cloud.google.com/go/internal/README.md,91.49
uniond/vendor/cloud.google.com/go/internal/annotate.go,100.00
uniond/vendor/cloud.google.com/go/internal/cloudbuild.yaml,100.00
uniond/vendor/cloud.google.com/go/internal/optional/optional.go,100.00
uniond/vendor/cloud.google.com/go/internal/retry.go,100.00
uniond/vendor/cloud.google.com/go/internal/trace/trace.go,46.25
uniond/vendor/cloud.google.com/go/internal/version/update_version.sh,100.00
uniond/vendor/cloud.google.com/go/internal/version/version.go,100.00
uniond/vendor/cloud.google.com/go/storage/CHANGES.md,59.04
uniond/vendor/cloud.google.com/go/storage/LICENSE,100.00
uniond/vendor/cloud.google.com/go/storage/README.md,100.00
uniond/vendor/cloud.google.com/go/storage/acl.go,99.72
uniond/vendor/cloud.google.com/go/storage/bucket.go,88.80
uniond/vendor/cloud.google.com/go/storage/client.go,90.98
uniond/vendor/cloud.google.com/go/storage/copy.go,100.00
uniond/vendor/cloud.google.com/go/storage/doc.go,85.64
uniond/vendor/cloud.google.com/go/storage/emulator_test.sh,100.00
uniond/vendor/cloud.google.com/go/storage/grpc_client.go,67.77
uniond/vendor/cloud.google.com/go/storage/hmac.go,99.24
uniond/vendor/cloud.google.com/go/storage/http_client.go,75.47
uniond/vendor/cloud.google.com/go/storage/iam.go,99.25
uniond/vendor/cloud.google.com/go/storage/internal/apiv2/doc.go,76.19
