File,Top Contributor Share (%)
.github/issue_template.md,100.00
.gitignore,89.86
LICENSE,100.00
README.md,92.54
v2rayN/v2rayN.sln,94.90
v2rayN/v2rayN/Forms/AddServer2Form.Designer.cs,100.00
v2rayN/v2rayN/Forms/AddServer2Form.cs,95.59
v2rayN/v2rayN/Forms/AddServer2Form.resx,91.83
v2rayN/v2rayN/Forms/AddServer2Form.zh-Hans.resx,94.42
v2rayN/v2rayN/Forms/AddServer3Form.Designer.cs,100.00
v2rayN/v2rayN/Forms/AddServer3Form.cs,97.45
v2rayN/v2rayN/Forms/AddServer3Form.resx,93.84
v2rayN/v2rayN/Forms/AddServer3Form.zh-Hans.resx,90.74
v2rayN/v2rayN/Forms/AddServer4Form.Designer.cs,100.00
v2rayN/v2rayN/Forms/AddServer4Form.cs,97.92
v2rayN/v2rayN/Forms/AddServer4Form.resx,89.65
v2rayN/v2rayN/Forms/AddServer4Form.zh-Hans.resx,88.33
v2rayN/v2rayN/Forms/AddServerForm.Designer.cs,100.00
v2rayN/v2rayN/Forms/AddServerForm.cs,96.92
v2rayN/v2rayN/Forms/AddServerForm.resx,95.94
v2rayN/v2rayN/Forms/AddServerForm.zh-Hans.resx,87.18
v2rayN/v2rayN/Forms/BaseForm.Designer.cs,100.00
v2rayN/v2rayN/Forms/BaseForm.cs,95.83
v2rayN/v2rayN/Forms/BaseForm.resx,100.00
v2rayN/v2rayN/Forms/ListViewFlickerFree.cs,100.00
v2rayN/v2rayN/Forms/MainForm.Designer.cs,91.21
v2rayN/v2rayN/Forms/MainForm.cs,85.25
v2rayN/v2rayN/Forms/MainForm.resx,74.98
v2rayN/v2rayN/Forms/MainForm.zh-Hans.resx,77.20
v2rayN/v2rayN/Forms/OptionSettingForm.Designer.cs,91.66
v2rayN/v2rayN/Forms/OptionSettingForm.cs,91.05
v2rayN/v2rayN/Forms/OptionSettingForm.resx,83.75
v2rayN/v2rayN/Forms/OptionSettingForm.zh-Hans.resx,88.38
v2rayN/v2rayN/Forms/QRCodeControl.Designer.cs,100.00
v2rayN/v2rayN/Forms/QRCodeControl.cs,100.00
v2rayN/v2rayN/Forms/QRCodeControl.resx,68.78
v2rayN/v2rayN/Forms/QRCodeControl.zh-Hans.resx,100.00
v2rayN/v2rayN/Forms/QRCodeForm.Designer.cs,100.00
v2rayN/v2rayN/Forms/QRCodeForm.cs,100.00
v2rayN/v2rayN/Forms/QRCodeForm.resx,100.00
v2rayN/v2rayN/Forms/SubSettingControl.Designer.cs,100.00
v2rayN/v2rayN/Forms/SubSettingControl.cs,95.80
v2rayN/v2rayN/Forms/SubSettingControl.resx,93.67
v2rayN/v2rayN/Forms/SubSettingControl.zh-Hans.resx,97.08
v2rayN/v2rayN/Forms/SubSettingForm.Designer.cs,100.00
v2rayN/v2rayN/Forms/SubSettingForm.cs,88.55
v2rayN/v2rayN/Forms/SubSettingForm.resx,90.38
v2rayN/v2rayN/Forms/SubSettingForm.zh-Hans.resx,96.75
v2rayN/v2rayN/Global.cs,88.23
v2rayN/v2rayN/Handler/ConfigHandler.cs,93.35
v2rayN/v2rayN/Handler/ProxySetting.cs,58.69
v2rayN/v2rayN/Handler/QRCodeHelper.cs,77.63
v2rayN/v2rayN/Handler/RoutingRuleHandler.cs,100.00
v2rayN/v2rayN/Handler/SpeedtestHandler.cs,84.62
v2rayN/v2rayN/Handler/StatisticsHandler.cs,91.75
v2rayN/v2rayN/Handler/V2rayConfigHandler.cs,86.05
v2rayN/v2rayN/Handler/V2rayHandler.cs,73.06
v2rayN/v2rayN/Handler/V2rayUpdateHandle.cs,100.00
v2rayN/v2rayN/HttpProxyHandler/HttpProxyHandle.cs,89.10
v2rayN/v2rayN/HttpProxyHandler/HttpWebServer.cs,100.00
v2rayN/v2rayN/HttpProxyHandler/HttpWebServerB.cs,100.00
v2rayN/v2rayN/HttpProxyHandler/PACFileWatcherHandle.cs,100.00
v2rayN/v2rayN/HttpProxyHandler/PACListHandle.cs,100.00
v2rayN/v2rayN/HttpProxyHandler/PACServerHandle.cs,95.83
v2rayN/v2rayN/HttpProxyHandler/PrivoxyHandler.cs,98.96
v2rayN/v2rayN/HttpProxyHandler/ProxySetting.cs,99.57
v2rayN/v2rayN/HttpProxyHandler/SysProxyHandle.cs,98.10
v2rayN/v2rayN/HttpProxyHandler/WebClientEx.cs,100.00
v2rayN/v2rayN/Mode/Config.cs,92.81
v2rayN/v2rayN/Mode/EConfigType.cs,100.00
v2rayN/v2rayN/Mode/EMove.cs,100.00
v2rayN/v2rayN/Mode/ServerStatistics.cs,93.14
v2rayN/v2rayN/Mode/SysproxyConfig.cs,100.00
v2rayN/v2rayN/Mode/V2rayConfig.cs,98.99
v2rayN/v2rayN/Mode/V2rayTcpRequest.cs,100.00
v2rayN/v2rayN/Mode/VmessQRCode.cs,92.72
v2rayN/v2rayN/Program.cs,89.90
v2rayN/v2rayN/Properties/AssemblyInfo.cs,98.67
v2rayN/v2rayN/Properties/Resources.Designer.cs,94.01
v2rayN/v2rayN/Properties/Resources.resx,77.47
v2rayN/v2rayN/Properties/Settings.Designer.cs,100.00
v2rayN/v2rayN/Properties/Settings.settings,100.00
v2rayN/v2rayN/Protos/Statistics.proto,100.00
v2rayN/v2rayN/Resources/pac.txt,100.00
v2rayN/v2rayN/Resources/privoxy_conf.txt,100.00
v2rayN/v2rayN/Resx/ResUI.Designer.cs,79.15
v2rayN/v2rayN/Resx/ResUI.resx,85.82
v2rayN/v2rayN/Resx/ResUI.zh-Hans.resx,88.41
v2rayN/v2rayN/Sample/BlankPac.txt,100.00
v2rayN/v2rayN/Sample/SampleClientConfig.txt,100.00
v2rayN/v2rayN/Sample/SampleHttprequest.txt,100.00
v2rayN/v2rayN/Sample/SampleHttpresponse.txt,100.00
v2rayN/v2rayN/Sample/SampleServerConfig.txt,100.00
v2rayN/v2rayN/StringEx.cs,100.00
v2rayN/v2rayN/Tool/CDateTime.cs,100.00
v2rayN/v2rayN/Tool/FileManager.cs,84.66
v2rayN/v2rayN/Tool/Job.cs,96.46
v2rayN/v2rayN/Tool/UI.cs,81.97
v2rayN/v2rayN/Tool/UIRes.cs,96.30
v2rayN/v2rayN/Tool/Utils.cs,88.56
v2rayN/v2rayN/app.config,100.00
v2rayN/v2rayN/packages.config,64.29
v2rayN/v2rayN/v2rayN.csproj,92.55
v2rayN/v2rayN/v2rayN.csproj.user,100.00
v2rayN/v2rayN/Base/HttpWebServer.cs,66.67
v2rayN/v2rayN/Base/HttpWebServerB.cs,79.17
v2rayN/v2rayN/Base/ListViewFlickerFree.cs,66.92
v2rayN/v2rayN/Base/StringEx.cs,53.33
v2rayN/v2rayN/Base/WebClientEx.cs,75.00
v2rayN/v2rayN/Handler/DownloadHandle.cs,81.10
v2rayN/v2rayN/Sample/custom_routing_block,50.00
v2rayN/v2rayN/Sample/custom_routing_direct,100.00
v2rayN/v2rayN/Sample/custom_routing_proxy,100.00
v2rayN/v2rayN/Handler/MainFormHandler.cs,92.48
v2rayN/v2rayUpgrade/App.config,100.00
v2rayN/v2rayUpgrade/MainForm.Designer.cs,94.74
v2rayN/v2rayUpgrade/MainForm.cs,68.61
v2rayN/v2rayUpgrade/MainForm.resx,100.00
v2rayN/v2rayUpgrade/Program.cs,99.50
v2rayN/v2rayUpgrade/Properties/AssemblyInfo.cs,90.00
v2rayN/v2rayUpgrade/Properties/Resources.Designer.cs,100.00
v2rayN/v2rayUpgrade/Properties/Resources.resx,100.00
v2rayN/v2rayUpgrade/Properties/Settings.Designer.cs,100.00
v2rayN/v2rayUpgrade/Properties/Settings.settings,100.00
v2rayN/v2rayUpgrade/v2rayUpgrade.csproj,89.92
v2rayN/v2rayUpgrade/v2rayUpgrade.csproj.user,100.00
v2rayN/v2rayN/Mode/EServerColName.cs,57.14
v2rayN/v2rayN/Base/ListViewSort.cs,100.00
v2rayN/v2rayN/Tool/QueryableExtension.cs,100.00
v2rayN/v2rayN/Forms/AddServer5Form.Designer.cs,100.00
v2rayN/v2rayN/Forms/AddServer5Form.cs,100.00
v2rayN/v2rayN/Forms/AddServer5Form.resx,100.00
v2rayN/v2rayN/Forms/AddServer5Form.zh-Hans.resx,99.37
v2rayN/v2rayN/Forms/AddServer6Form.Designer.cs,100.00
v2rayN/v2rayN/Forms/AddServer6Form.cs,100.00
v2rayN/v2rayN/Forms/AddServer6Form.resx,100.00
v2rayN/v2rayN/Forms/AddServer6Form.zh-Hans.resx,100.00
v2rayN/v2rayN/Forms/BaseServerForm.Designer.cs,100.00
v2rayN/v2rayN/Forms/BaseServerForm.cs,100.00
v2rayN/v2rayN/Forms/BaseServerForm.resx,100.00
v2rayN/v2rayN/Forms/RoutingSettingControl.Designer.cs,100.00
v2rayN/v2rayN/Forms/RoutingSettingControl.cs,100.00
v2rayN/v2rayN/Forms/RoutingSettingControl.resx,100.00
v2rayN/v2rayN/Forms/RoutingSettingControl.zh-Hans.resx,100.00
v2rayN/v2rayN/Forms/RoutingSettingForm.Designer.cs,100.00
