File,Top Contributor Share (%)
README,45.86
relaxng/common.rnc,51.94
relaxng/html5core.rnc,87.50
relaxng/meta.rnc,43.74
relaxng/xhtml5core.rnc,81.16
relaxng/tests/driver.html5core,100.00
relaxng/tests/html5core/README,100.00
relaxng/tests/html5core/invalid/002.html,100.00
relaxng/tests/html5core/invalid/002.xhtml,100.00
relaxng/tests/html5core/invalid/003.html,83.33
relaxng/tests/html5core/invalid/003.xhtml,100.00
relaxng/tests/html5core/valid/001.xhtml,88.89
relaxng/tests/html5core/valid/002.html,72.41
relaxng/tests/html5core/valid/002.xhtml,86.67
.htaccess,100.00
relaxng/.htaccess,100.00
relaxng/html5exclusions.rnc,72.97
relaxng/phrase.rnc,50.73
relaxng/block.rnc,41.15
relaxng/tests/driver.xhtml5core,100.00
relaxng/tests/html5core/invalid/004.html,85.71
relaxng/tests/html5core/invalid/004.xhtml,100.00
relaxng/tests/html5core/invalid/005.html,100.00
relaxng/tests/html5core/invalid/005.xhtml,100.00
relaxng/tests/html5core/invalid/006.html,100.00
relaxng/tests/html5core/invalid/006.xhtml,100.00
relaxng/tests/html5core/invalid/007.html,100.00
relaxng/tests/html5core/invalid/007.xhtml,100.00
relaxng/tests/html5core/invalid/008.html,100.00
relaxng/tests/html5core/invalid/008.xhtml,100.00
relaxng/tests/html5core/invalid/009.html,100.00
relaxng/tests/html5core/invalid/009.xhtml,100.00
relaxng/tests/html5core/invalid/010.html,100.00
relaxng/tests/html5core/invalid/010.xhtml,100.00
relaxng/tests/html5core/invalid/011.html,100.00
relaxng/tests/html5core/invalid/011.xhtml,100.00
relaxng/tests/html5core/invalid/012.html,100.00
relaxng/tests/html5core/invalid/012.xhtml,100.00
relaxng/tests/html5core/invalid/013.html,100.00
relaxng/tests/html5core/invalid/013.xhtml,100.00
relaxng/tests/html5core/invalid/014.html,100.00
relaxng/tests/html5core/invalid/014.xhtml,100.00
relaxng/tests/html5core/invalid/015.html,100.00
relaxng/tests/html5core/invalid/015.xhtml,100.00
