File,Top Contributor Share (%)
.gitattributes,62.50
.gitignore,100.00
ChangeLog.md,100.00
LICENSE,98.41
README.md,100.00
build.xml,100.00
build/PHPCS/Sniffs/ControlStructures/ControlSignatureSniff.php,100.00
build/PHPCS/Sniffs/Whitespace/ConcatenationSpacingSniff.php,100.00
build/PHPCS/ruleset.xml,100.00
build/package.xml,100.00
build/phpdox.xml,100.00
build/phpmd.xml,100.00
build/phpunit.xml,100.00
composer.json,100.00
src/Version.php,93.26
src/autoload.php,65.52
tests/bootstrap.php,100.00
.php_cs,100.00
.php_cs.dist,100.00
.github/stale.yml,100.00
.github/FUNDING.yml,100.00
.php-cs-fixer.dist.php,100.00
.github/workflows/ci.yml,100.00
.phive/phars.xml,100.00
.psalm/baseline.xml,100.00
.psalm/config.xml,100.00
SECURITY.md,100.00
.github/workflows/release.yaml,100.00
build/scripts/extract-release-notes.php,100.00
phpstan.neon,100.00
.github/CONTRIBUTING.md,100.00
