File,Top Contributor Share (%)
.gitignore,44.93
Makefile,95.00
README.md,80.89
data/churnTest.csv,100.00
data/churnTrain.csv,99.97
requirements.txt,50.00
src/app.py,77.95
src/config.py,88.73
src/plots.py,90.28
src/utils.py,100.00
src/h2o.py,100.00
LICENSE,100.00
churn-risk/README.md,53.89
credit-risk/README.md,50.60
explaining-ratings/README.md,43.04
getting-started-with-nlp/README.md,100.00
guess-the-number/README.md,75.52
sales-forecasting/README.md,46.32
shopping-cart-recommendations/README.md,47.89
twitter-sentiment/README.md,57.34
churn-risk/Makefile,60.61
churn-risk/data/churnTest.csv,99.77
churn-risk/data/churnTrain.csv,99.97
churn-risk/requirements.txt,45.57
churn-risk/src/app.py,38.31
churn-risk/src/config.py,59.90
churn-risk/src/h2o.py,100.00
churn-risk/src/plots.py,42.36
churn-risk/src/utils.py,66.23
sales-forecasting/app.toml,57.58
sales-forecasting/data/walmart_test.csv,100.00
sales-forecasting/data/walmart_test_preds.csv,100.00
sales-forecasting/data/walmart_train.csv,100.00
sales-forecasting/requirements.txt,54.67
sales-forecasting/wave-forecast.py,57.88
getting-started-with-nlp/sample_code.py,100.00
src/churn_predictor.py,77.37
about.md,100.00
churn-risk/src/churn_predictor.py,37.20
churn-risk/test/unit/plots_test.py,100.00
churn-risk/ci/Jenkinsfile,86.61
churn-risk/test/e2e/walkthrough.py,53.41
churn-risk/app.toml,72.73
churn-risk/test/unit/churn_predictor_test.py,95.45
churn-risk/test/unit/data/churnTest.csv,100.00
churn-risk/test/unit/data/churnTrain.csv,100.00
churn-risk/.coveragerc,100.00
churn-risk/test/unit/utils_test.py,100.00
churn-risk/ci/docker/Dockerfile,100.00
churn-risk/ci/docker/docker-compose.yml,100.00
churn-risk/.flake8,100.00
twitter-sentiment/app.toml,42.31
twitter-sentiment/hashtag_run.py,100.00
twitter-sentiment/requirements.txt,55.00
credit-risk/.gitignore,100.00
credit-risk/Makefile,64.71
credit-risk/app.toml,52.17
credit-risk/ci/Jenkinsfile,100.00
credit-risk/ci/docker/Dockerfile,100.00
credit-risk/data/Kaggle/CreditCard-train.csv,100.00
credit-risk/requirements.txt,59.09
credit-risk/src/app.py,52.85
credit-risk/src/churn_predictor.py,100.00
credit-risk/src/config.py,84.75
credit-risk/src/plots.py,97.50
credit-risk/src/utils.py,73.68
credit-risk/test/e2e/walkthrough.py,100.00
credit-risk/test/unit/churn_predictor_test.py,100.00
credit-risk/test/unit/data/churnTest.csv,100.00
credit-risk/test/unit/data/churnTrain.csv,100.00
credit-risk/test/unit/plots_test.py,100.00
credit-risk/test/unit/utils_test.py,100.00
credit-risk/src/predictor.py,80.00
credit-risk/src/views/customer.py,95.97
credit-risk/src/views/home.py,91.43
credit-risk/requirements.dev.txt,100.00
credit-risk/requirements.test.txt,100.00
shopping-cart-recommendations/instacart_market_basket_model.csv,100.00
shopping-cart-recommendations/instacart_products.csv,100.00
shopping-cart-recommendations/requirements.txt,47.06
shopping-cart-recommendations/wave-recommendations.py,100.00
twitter-sentiment/.gitignore,100.00
twitter-sentiment/ci/Jenkinsfile,100.00
twitter-sentiment/src/app.py,71.03
twitter-sentiment/src/config.py,100.00
twitter-sentiment/Makefile,59.57
twitter-sentiment/src/tweet_analyser.py,84.93
shopping-cart-recommendations/src/app.py,92.13
shopping-cart-recommendations/Makefile,55.00
shopping-cart-recommendations/src/config.py,100.00
shopping-cart-recommendations/src/suggestions.py,100.00
churn-risk/test/unit/app_test.py,100.00
churn-risk/test/unit/data/sanitize.csv,100.00
shopping-cart-recommendations/src/utils.py,100.00
shopping-cart-recommendations/app.toml,59.09
twitter-sentiment/src/plots.py,100.00
twitter-sentiment/src/utils.py,100.00
explaining-ratings/Makefile,61.54
explaining-ratings/app.toml,54.17
