Project Name,Author,Code Churn,Bug Fix Commit Count,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours),Lead Time for Changes (hours),Code Churn per PR,Issue Re-opening Rate,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,CI/CD Success Rate,Total Deployments,Total Contributors
AXPhotoViewer,Alessandro Nakamuta,103,152,85.41988888888889,29369.28958333333,29454.70947222222,1.1195652173913044,1.2258064516129032,4,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,Alex Gabilondo,8934,9006,85.41988888888889,29369.28958333333,29454.70947222222,1.638965327462851,1.2258064516129032,237,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,BiNo,0,76,85.41988888888889,29369.28958333333,29454.70947222222,0.0,1.2258064516129032,2,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,Christian Stade-Schuldt,79,190,85.41988888888889,29369.28958333333,29454.709472222217,0.6869565217391305,1.2258064516129032,5,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,Daniel Roy Greenfeld,1,38,85.41988888888889,29369.28958333333,29454.70947222222,0.0434782608695652,1.2258064516129032,1,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,Matt Calhoun,86,38,85.41988888888889,29369.28958333333,29454.70947222222,3.739130434782609,1.2258064516129032,1,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,Michał Czwarnowski,0,38,85.41988888888889,29369.28958333333,29454.70947222222,0.0,1.2258064516129032,1,22,30,9,0,0.9666666666666668,0,7
AXPhotoViewer,William Martin Stewart,1,38,85.41988888888889,29369.28958333333,29454.70947222222,0.0434782608695652,1.2258064516129032,1,22,30,9,0,0.9666666666666668,0,7
ActivityIndicatorView,Alisa Mylnikova,1787,240,36.142222222222216,1195.6669444444444,1231.809166666667,9.927777777777777,0.5925925925925927,15,11,26,13,0,0.9666666666666668,0,7
ActivityIndicatorView,Brendan Kirchner,0,16,36.142222222222216,1195.6669444444444,1231.809166666667,0.0,0.5925925925925926,1,11,26,13,0,0.9666666666666668,0,7
