Project Name,Author,Total Commits,Total PRs,Total Issues,Total Code Reviews,Total CI/CD Runs,Total Deployments,Total Contributors,Bug Fix Commit Count,Defect Density (Bugs per LOC),Failed Build/Test Rate,Lead Time for Changes (hours),Deployment Frequency,Code Churn per PR,Issue Re-opening Rate,CI/CD Success Rate,Avg PR Merge Time (hours),Avg Issue Resolution Time (hours)
AXPhotoViewer,Alessandro Nakamuta,16,88,120,36,0,0,7,152,inf,0.0333333333333332,29454.70947222222,0.0,1.1195652173913044,1.2258064516129032,0.015343915343915345,1.3558712522045855,466.1791997354497
AXPhotoViewer,Alex Gabilondo,56169,5214,7110,2133,0,0,7,9006,inf,0.0333333333333332,29454.70947222222,0.0,1.638965327462851,1.2258064516129032,0.9091269841269842,80.3353716931217,27621.117584325395
AXPhotoViewer,BiNo,4,44,60,18,0,0,7,76,38.0,0.0333333333333332,29454.70947222222,0.0,0.0,1.2258064516129032,0.007671957671957673,0.6779356261022927,233.08959986772484
AXPhotoViewer,Christian Stade-Schuldt,25,110,150,45,0,0,7,190,25.430769230769233,0.0333333333333332,29454.709472222217,0.0,0.6869565217391305,1.2258064516129032,0.019179894179894182,1.694839065255732,582.7239996693121
AXPhotoViewer,Daniel Roy Greenfeld,1,22,30,9,0,0,7,38,19.0,0.0333333333333332,29454.70947222222,0.0,0.0434782608695652,1.2258064516129032,0.0038359788359788364,0.33896781305114637,116.54479993386242
AXPhotoViewer,Matt Calhoun,1,22,30,9,0,0,7,38,0.4367816091954023,0.0333333333333332,29454.70947222222,0.0,3.739130434782609,1.2258064516129032,0.0038359788359788364,0.33896781305114637,116.54479993386242
AXPhotoViewer,Michał Czwarnowski,1,22,30,9,0,0,7,38,38.0,0.0333333333333332,29454.70947222222,0.0,0.0,1.2258064516129032,0.0038359788359788364,0.33896781305114637,116.54479993386242
AXPhotoViewer,William Martin Stewart,1,22,30,9,0,0,7,38,19.0,0.0333333333333332,29454.70947222222,0.0,0.0434782608695652,1.2258064516129032,0.0038359788359788364,0.33896781305114637,116.54479993386242
ActivityIndicatorView,Alisa Mylnikova,225,165,390,195,0,0,7,240,6.669912277598565,0.0333333333333332,1231.809166666667,0.0,9.927777777777777,0.5925925925925927,0.30208333333333337,11.294444444444443,373.64592013888887
ActivityIndicatorView,Brendan Kirchner,1,11,26,13,0,0,7,16,16.0,0.0333333333333332,1231.809166666667,0.0,0.0,0.5925925925925926,0.02013888888888889,0.7529629629629628,24.909728009259258
ActivityIndicatorView,CheolHyun Mun,4,22,52,26,0,0,7,32,16.0,0.0333333333333332,1231.809166666667,0.0,0.0,0.5925925925925926,0.04027777777777778,1.5059259259259257,49.819456018518515
ActivityIndicatorView,Dmitry Polyakovsky,25,55,130,65,0,0,7,80,9.984126984126984,0.0333333333333332,1231.809166666667,0.0,1.9833333333333332,0.5925925925925926,0.10069444444444446,3.764814814814814,124.5486400462963
ActivityIndicatorView,Igor Zapletnev,1,11,26,13,0,0,7,16,-8.0,0.0333333333333332,1231.809166666667,0.0,-0.25,0.5925925925925926,0.02013888888888889,0.7529629629629628,24.909728009259258
ActivityIndicatorView,James Jenkinson,4,22,52,26,0,0,7,32,9.6,0.0333333333333332,1231.809166666667,0.0,0.16666666666666666,0.5925925925925926,0.04027777777777778,1.5059259259259257,49.819456018518515
ActivityIndicatorView,Sebastian Krzyszkowiak,225,165,390,195,0,0,7,240,4.125424675050306,0.0333333333333332,1231.809166666667,0.0,1.833333333333333,0.5925925925925927,0.30208333333333337,11.294444444444443,373.64592013888887
ActivityIndicatorView,Yi-Hsiu Lee,1,11,26,13,0,0,7,16,5.333333333333333,0.0333333333333332,1231.809166666667,0.0,0.1666666666666666,0.5925925925925926,0.02013888888888889,0.7529629629629628,24.909728009259258
ActivityIndicatorView,fjsw,1,11,26,13,0,0,7,16,0.2352941176470588,0.0333333333333332,1231.809166666667,0.0,5.583333333333333,0.5925925925925926,0.02013888888888889,0.7529629629629628,24.909728009259258
ActivityIndicatorView,mylnikova.alisa,25,55,130,65,0,0,7,80,inf,0.0333333333333332,1231.809166666667,0.0,0.06666666666666667,0.5925925925925926,0.10069444444444446,3.764814814814814,124.5486400462963
AgentLaboratory,Ashwanth Kumar,1,30,30,3,0,0,7,7,7.0,0.0333333333333332,127.94221428571429,0.0,0.0,0.2258064516129032,0.053703703703703705,1.733185185185185,5.374715608465608
AgentLaboratory,Charles Lanahan,1,30,30,3,0,0,7,7,7.0,0.0333333333333332,127.94221428571429,0.0,0.0,0.2258064516129032,0.053703703703703705,1.733185185185185,5.374715608465608
AgentLaboratory,Kseniia Murasheva,1,30,30,3,0,0,7,7,7.0,0.0333333333333332,127.94221428571429,0.0,0.0,0.2258064516129032,0.053703703703703705,1.733185185185185,5.374715608465608
