repo_name,total_commits,total_prs,avg_pr_merge_time,total_issues,issue_reopening_rate,ci_cd_success_rate
activist-org/activist,3177,100,81.9972619047619,100,0.0,0.5666666666666667
ansible/ansible,54836,100,60.34247829861111,100,0.0,
arviz-devs/arviz,1588,100,308.1860905349794,100,0.0,1.0
bokeh/bokeh,20745,100,92.72440476190476,100,0.0,0.5333333333333333
borgbackup/borg,8934,100,31.93952247191011,100,0.0,0.6666666666666666
hpcaitech/ColossalAI,3807,100,160.77747685185187,100,0.0,0.2
cookiecutter/cookiecutter-django,8187,100,16.358175675675675,100,0.0,1.0
mem0ai/mem0,1390,100,11.39489099859353,100,0.0,0.6
fastapi/fastapi,5647,100,166.78995061728395,100,0.0,1.0
h2oai/wave,2334,100,63.2922030651341,100,0.0,0.8
h2oai/wave-apps,690,89,302.35569268635726,100,0.0,1.0
harmonydata/harmony,515,39,120.59658602150537,82,0.0,0.9333333333333333
sukeesh/Jarvis,1796,100,397.57165343915347,100,0.0,0.8666666666666667
jupyter/notebook,13622,100,61.20276455026455,100,0.0,0.7333333333333333
Kinto/kinto,8814,100,89.55174753867793,100,0.0,0.7666666666666667
matplotlib/matplotlib,52193,100,23.270466988727858,100,0.0,0.5666666666666667
gpodder/mygpo,4307,100,1636.8747413793103,100,0.0,0.5
SamuelSchmidgall/AgentLaboratory,25,33,40.76777777777778,85,0.0,
multimodal-art-projection/YuE,120,7,5.685138888888889,100,0.0,
unionlabs/union,11257,100,15.741189542483662,100,0.0,0.7666666666666667
Tencent/Hunyuan3D-2,118,25,21.168298611111112,100,0.0,1.0
simplescaling/s1,78,14,11.914166666666667,99,0.0,
Zyphra/Zonos,82,37,11.848229166666666,100,0.0,
dzhng/deep-research,70,41,20.579821428571428,100,0.0,
jubnzv/mdeval.nvim,34,7,51.59717592592593,13,0.0,1.0
kmkzt/react-hooks-svgdrawing,207,100,66.5567037037037,100,0.0,0.0
mikitex70/plantuml-markdown,334,33,1057.4366666666665,100,0.0,
clitic/kdam,160,6,41.846296296296295,24,0.0,0.8571428571428571
alexhillc/AXPhotoViewer,261,22,85.41988888888889,89,0.0,
VictoriaMetrics/fastcache,66,27,313.6984722222222,82,0.0,1.0
sebastianbergmann/version,159,11,163.9573611111111,22,0.0,1.0
schollz/howmanypeoplearearound,123,28,174.73729532163742,64,0.0,
exyte/ActivityIndicatorView,57,11,36.142222222222216,26,0.0,
google/guava,6847,100,1.7130729166666667,100,0.0,0.9666666666666667
FreeTubeApp/FreeTube,8229,100,34.78921921921922,100,0.0,0.9
coralproject/talk,5081,100,106.20981780167264,100,0.0,0.9666666666666667
pengwynn/flint,108,29,546.3444444444445,45,0.0,
simbody/simbody,5019,100,499.53356760374834,100,0.0,0.7666666666666667
gem5/gem5,22316,100,140.79723104056436,100,0.0,0.9333333333333333
karpathy/nanoGPT,209,100,759.9767592592592,100,0.0,
mingrammer/diagrams,620,100,1143.3692624521073,100,0.0,0.9
RVC-Boss/GPT-SoVITS,880,100,81.21769764957266,100,0.0,
jesseduffield/lazydocker,855,100,1458.8864646464647,100,0.0,0.4
skylot/jadx,2402,100,34.04411111111111,100,0.0,0.9666666666666667
browser-use/browser-use,1248,100,20.594136904761907,100,0.0,0.5
hiyouga/LLaMA-Factory,2713,100,5.5224531024531025,100,0.0,0.7
agalwood/Motrix,1170,100,1046.6333212560387,100,0.0,1.0
Z4nzu/hackingtool,333,100,808.9775745257452,100,0.0,0.4375
FiloSottile/mkcert,165,100,1327.2036419753085,100,0.0,1.0
CorentinJ/Real-Time-Voice-Cloning,297,100,199.81563492063492,100,0.0,
ageitgey/face_recognition,238,100,3846.448672839506,100,0.0,
meta-llama/llama,148,100,123.50092592592594,100,0.0,
shadowsocks/shadowsocks-windows,1502,100,1986.5304830917876,100,0.0,0.9333333333333333
localsend/localsend,1757,100,55.10580284552846,100,0.0,0.9333333333333333
adam-p/markdown-here,835,88,1717.7712111111114,100,0.0,1.0
base/node,151,100,119.26276068376069,100,0.0,0.7666666666666667
typicode/json-server,975,100,517.5418611111111,0,,0.9333333333333333
3b1b/manim,6322,100,1134.5639891975309,100,0.0,0.0
2dust/v2rayN,2047,100,23.583566308243725,100,0.0,1.0
animate-css/animate.css,664,100,,100,0.0,1.0
Genymobile/scrcpy,2780,100,116.10032407407407,100,0.0,1.0
termux/termux-app,1474,100,413.1667901234568,100,0.0,0.8666666666666667
suno-ai/bark,83,76,44.70788011695907,100,0.0,
huggingface/open-r1,145,100,9.976120689655172,100,0.0,0.3333333333333333
mannaandpoem/OpenManus,250,100,11.041400000000001,100,0.0,0.3333333333333333
camel-ai/owl,392,100,3.869444444444445,100,0.0,1.0
lynx-family/lynx,142,100,33.38373015873016,100,0.0,0.5666666666666667
Jiayi-Pan/TinyZero,152,19,0.0024074074074074076,99,0.0,0.0
browser-use/web-ui,329,100,40.328421052631576,100,0.0,
Wan-Video/Wan2.1,20,30,41.69170138888889,100,0.0,
deepseek-ai/DeepEP,30,6,21.663750000000004,78,0.0,
deepseek-ai/DeepGEMM,45,27,12.652286324786324,69,0.0,
OpenHealthForAll/open-health,273,19,49.37435897435898,84,0.0,1.0
NovaSky-AI/SkyThought,47,49,46.0450406504065,94,0.0,0.7
bytedance/UI-TARS-desktop,120,100,16.47712121212121,100,0.0,0.6666666666666666
eastlondoner/cursor-tools,175,32,61.26188596491229,78,0.0,
David-patrick-chuks/Instagram-AI-Agent,46,7,45.310833333333335,48,0.0,
coleam00/Archon,36,20,120.84932098765431,67,0.0,
rag-web-ui/rag-web-ui,66,24,10.307180555555556,71,0.0,1.0
trycua/computer,118,26,3.6832371794871794,56,0.0,0.8333333333333334
santinic/audiblez,240,25,31.198506944444443,85,0.0,0.7333333333333333
SkyworkAI/SkyReels-V1,15,14,0.004791666666666666,98,0.0,
GLips/Figma-Context-MCP,49,12,14.811666666666666,40,0.0,
AgentDeskAI/browser-tools-mcp,78,27,24.636796296296293,97,0.0,
open-thoughts/open-thoughts,72,7,0.6120833333333333,24,0.0,
superglue-ai/superglue,452,86,9.231437037037036,93,0.0,0.4
antfu/node-modules-inspector,304,36,21.312398148148148,69,0.0,0.8333333333333334
kijai/ComfyUI-WanVideoWrapper,168,6,0.43625,100,0.0,0.9
browserbase/open-operator,72,19,2.7064141414141414,32,0.0,
LearningCircuit/local-deep-research,165,35,3.071053639846743,50,0.0,
sunsmarterjie/yolov12,174,10,2.5122619047619046,74,0.0,
IsaacGemal/wikitok,79,79,18.39775925925926,100,0.0,
ASLP-lab/DiffRhythm,46,7,38.43712962962963,61,0.0,
cloudflare/agents,161,71,4.588407118055556,94,0.0,0.9
SaiAkhil066/DeepSeek-RAG-Chatbot,48,5,7.400722222222223,24,0.0,
rmurai0610/MASt3R-SLAM,20,11,32.13761111111111,61,0.0,
openai/openai-agents-python,155,100,13.933077777777777,100,0.0,0.6666666666666666
facebookresearch/large_concept_model,44,7,40.25763888888889,29,0.0,0.1
thewh1teagle/kokoro-onnx,192,22,17.348842592592593,100,0.0,0.06666666666666667
bytedance/LatentSync,47,13,108.00981481481482,100,0.0,1.0
